iteration,train_time_s,query_time_s,eig_time_s
0,38.3368,6.2681,
1,61.2859,6.43,
2,41.617,6.9058,
3,44.5261,6.302,
4,42.5696,6.3993,
5,52.3702,6.1949,
6,47.4644,6.456,
7,48.5247,6.1897,
8,51.346,6.1706,
9,46.9248,6.0666,
