iteration,train_time_s,query_time_s,eig_time_s
0,21.6149,4.8709,
1,22.6343,4.8746,
2,23.2714,4.8337,
3,24.1368,4.9179,
4,24.7806,4.8185,
5,25.9396,4.75,
6,26.3442,4.736,
7,27.4523,4.8357,
8,28.3496,4.7698,
9,29.116,4.7511,
