iteration,train_time_s,query_time_s,eig_time_s
0,21.5644,89.8275,83.96
1,23.0702,142.3066,136.2732
2,24.0806,200.4003,194.1867
3,24.6578,256.1001,249.932
4,25.194,309.881,303.6818
5,26.2253,385.1558,378.9527
6,26.7294,451.8883,445.4808
7,28.0175,515.1702,508.7082
8,28.6107,577.7192,571.357
9,29.0472,645.9138,639.6507
