val/loss,val/acc,epoch,step,train/acc
2.294188976287842,0.10000000149011612,0,5,
,,0,5,0.1438181847333908
2.327155351638794,0.10000000149011612,1,11,
,,1,11,0.10818181931972504
2.496781349182129,0.20080000162124634,2,17,
