lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,
,,3,1.3076198101043701,0.6057090759277344,0.6289729475975037,0.5013392567634583,0.5013392567634583,0.7503352761268616,0.33630263805389404,0,,,,,,,,,,,,,,
,,3,,,,,,,,0,0.26974356174468994,0.019590934738516808,0.7850000262260437,0.4025641083717346,0.48456791043281555,0.43977591395378113,,,,,,,,
0.0005,0.0005,4,,,,,,,,,,,,,,,,,,,,,,
,,7,0.7302789688110352,0.5863304138183594,0.6151001453399658,0.49977678060531616,0.49977678060531616,0.4989755153656006,0.37819546461105347,1,,,,,,,,,,,,,,
,,7,,,,,,,,1,0.5600000023841858,0.03875686973333359,0.625,0.5153846144676208,0.5016087293624878,0.4084940254688263,,,,,,,,
5e-05,5e-05,8,,,,,,,,,,,,,,,,,,,,,,
,,11,0.7145670652389526,0.5896717309951782,0.617521345615387,0.5058035850524902,0.5058035850524902,0.5185140371322632,0.40340909361839294,2,,,,,,,,,,,,,,
,,11,,,,,,,,2,0.4430769085884094,0.026386696845293045,0.4300000071525574,0.5128205418586731,0.5012787580490112,0.3214285671710968,,,,,,,,
5e-05,5e-05,12,,,,,,,,,,,,,,,,,,,,,,
,,15,0.6999552845954895,0.5937003493309021,0.6207362413406372,0.5176339149475098,0.5176339149475098,0.5347898006439209,0.4498044550418854,3,,,,,,,,,,,,,,
,,15,,,,,,,,3,0.6000000238418579,0.06657981872558594,0.4950000047683716,0.5461538434028625,0.5045018196105957,0.3556824326515198,,,,,,,,
5e-06,5e-06,16,,,,,,,,,,,,,,,,,,,,,,
,,19,0.6972726583480835,0.594335675239563,0.6211992502212524,0.520312488079071,0.520312488079071,0.5369464159011841,0.45947396755218506,4,,,,,,,,,,,,,,
,,19,,,,,,,,4,0.7046153545379639,0.07507936656475067,0.47999998927116394,0.6358974575996399,0.5133152604103088,0.3551587462425232,,,,,,,,
5e-06,5e-06,20,,,,,,,,,,,,,,,,,,,,,,
,,23,0.6937205195426941,0.595160961151123,0.6218581199645996,0.5232142806053162,0.5232142806053162,0.5376154184341431,0.47274965047836304,5,,,,,,,,,,,,,,
,,23,,,,,,,,5,0.5917948484420776,0.13275080919265747,0.4950000047683716,0.5461538434028625,0.5045018196105957,0.3556824326515198,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,24,,,,,,,,,,,,,,,,,,,,,,
,,27,0.6933661103248596,0.5952568054199219,0.6219139099121094,0.5243303775787354,0.5243303775787354,0.5389724373817444,0.4750213027000427,6,,,,,,,,,,,,,,
,,27,,,,,,,,6,0.4123076796531677,0.028297943994402885,0.4300000071525574,0.4153846204280853,0.4916081726551056,0.3148214817047119,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,28,,,,,,,,,,,,,,,,,,,,,,
,,31,0.6929394006729126,0.5953579545021057,0.6219878196716309,0.5238839387893677,0.5238839387893677,0.537666916847229,0.4759436249732971,7,,,,,,,,,,,,,,
,,31,,,,,,,,7,0.5517948865890503,0.038431230932474136,0.4950000047683716,0.5461538434028625,0.5045018196105957,0.3556824326515198,,,,,,,,
5.000000000000001e-08,5.000000000000001e-08,32,,,,,,,,,,,,,,,,,,,,,,
,,35,0.6928990483283997,0.595363199710846,0.6219951510429382,0.5238839387893677,0.5238839387893677,0.537666916847229,0.4759436249732971,8,,,,,,,,,,,,,,
,,35,,,,,,,,8,0.6143589615821838,0.0568215474486351,0.5049999952316284,0.5512820482254028,0.5049999952316284,0.36077481508255005,,,,,,,,
5.000000000000001e-08,5.000000000000001e-08,36,,,,,,,,,,,,,,,,,,,,,,
,,39,0.6928736567497253,0.5953747034072876,0.6220039129257202,0.5238839387893677,0.5238839387893677,0.537666916847229,0.4759436249732971,9,,,,,,,,,,,,,,
,,39,,,,,,,,9,0.5487179756164551,0.049036625772714615,0.5199999809265137,0.5589743852615356,0.5057551860809326,0.3683379292488098,,,,,,,,
,,40,,,,,,,,10,,,,,,,1.3080224990844727,0.6034680008888245,0.6238051652908325,0.5015624761581421,0.5015624761581421,0.694835901260376,0.3371884822845459,0.5015624761581421
