val/loss,val/acc,epoch,step,train/acc,lr-SGD/pg1,lr-SGD/pg2,train/loss,test/loss,test/acc,test/bacc
2.283437967300415,0.10239999741315842,0,5,,,,,,,
,,0,5,0.08363636583089828,,,,,,
2.2962493896484375,0.14560000598430634,1,11,,,,,,,
,,1,11,0.0981818214058876,,,,,,
2.2600512504577637,0.13439999520778656,2,17,,,,,,,
,,2,17,0.11563636362552643,,,,,,
2.2438204288482666,0.1615999937057495,3,23,,,,,,,
,,3,23,0.11381818354129791,,,,,,
3.2743074893951416,0.18559999763965607,4,29,,,,,,,
,,4,29,0.13345454633235931,,,,,,
3.0415542125701904,0.1671999990940094,5,35,,,,,,,
,,5,35,0.1390909105539322,,,,,,
3.2770628929138184,0.1607999950647354,6,41,,,,,,,
,,6,41,0.1340000033378601,,,,,,
2.324205160140991,0.2168000042438507,7,47,,,,,,,
,,7,47,0.14854545891284943,,,,,,
,,,49,,0.08166666666666667,0.08166666666666667,,,,
,,8,49,,,,2.161982774734497,,,
2.115129232406616,0.24079999327659607,8,53,,,,,,,
,,8,53,0.14563636481761932,,,,,,
1.9944677352905273,0.23919999599456787,9,59,,,,,,,
,,9,59,0.15909090638160706,,,,,,
2.133464813232422,0.2184000015258789,10,65,,,,,,,
,,10,65,0.16145454347133636,,,,,,
2.0040624141693115,0.25360000133514404,11,71,,,,,,,
,,11,71,0.17945455014705658,,,,,,
2.170520782470703,0.23999999463558197,12,77,,,,,,,
,,12,77,0.16036362946033478,,,,,,
1.8320636749267578,0.31119999289512634,13,83,,,,,,,
,,13,83,0.18799999356269836,,,,,,
2.5659823417663574,0.24240000545978546,14,89,,,,,,,
,,14,89,0.164000004529953,,,,,,
1.8424265384674072,0.2712000012397766,15,95,,,,,,,
,,15,95,0.19418181478977203,,,,,,
,,,99,,0.09971150308006689,0.09971150308006689,,,,
,,16,99,,,,2.043670892715454,,,
1.8841665983200073,0.30959999561309814,16,101,,,,,,,
,,16,101,0.21890908479690552,,,,,,
2.650820732116699,0.20800000429153442,17,107,,,,,,,
,,17,107,0.190545454621315,,,,,,
1.9076734781265259,0.3495999872684479,18,113,,,,,,,
,,18,113,0.16618181765079498,,,,,,
1.8204602003097534,0.3407999873161316,19,119,,,,,,,
,,19,119,0.19181817770004272,,,,,,
9.073824882507324,0.14560000598430634,20,125,,,,,,,
,,20,125,0.20309090614318848,,,,,,
4.343161106109619,0.17599999904632568,21,131,,,,,,,
,,21,131,0.17963635921478271,,,,,,
2.2118582725524902,0.2863999903202057,22,137,,,,,,,
,,22,137,0.19381818175315857,,,,,,
1.9383997917175293,0.30959999561309814,23,143,,,,,,,
,,23,143,0.20399999618530273,,,,,,
,,,149,,0.09850365444235881,0.09850365444235881,,,,
,,24,149,,,,1.9885811805725098,,,
1.7558027505874634,0.36640000343322754,24,149,,,,,,,
,,24,149,0.20945455133914948,,,,,,
1.7823164463043213,0.3264000117778778,25,155,,,,,,,
,,25,155,0.2269090861082077,,,,,,
1.7920931577682495,0.35120001435279846,26,161,,,,,,,
,,26,161,0.2210909128189087,,,,,,
1.6711245775222778,0.36239999532699585,27,167,,,,,,,
,,27,167,0.24218182265758514,,,,,,
1.8402283191680908,0.30880001187324524,28,173,,,,,,,
,,28,173,0.20454545319080353,,,,,,
2.3133137226104736,0.23680000007152557,29,179,,,,,,,
,,29,179,0.23472727835178375,,,,,,
1.7117836475372314,0.36239999532699585,30,185,,,,,,,
,,30,185,0.24090908467769623,,,,,,
1.647865653038025,0.36399999260902405,31,191,,,,,,,
,,31,191,0.2067272663116455,,,,,,
2.0968408584594727,0.23280000686645508,32,197,,,,,,,
,,32,197,0.24981817603111267,,,,,,
,,,199,,0.09637637874149779,0.09637637874149779,,,,
,,33,199,,,,1.9835355281829834,,,
1.6384326219558716,0.36559998989105225,33,203,,,,,,,
,,33,203,0.22072727978229523,,,,,,
1.7560456991195679,0.3447999954223633,34,209,,,,,,,
,,34,209,0.2610909044742584,,,,,,
1.5851566791534424,0.3935999870300293,35,215,,,,,,,
,,35,215,0.24199999868869781,,,,,,
3.317120313644409,0.12479999661445618,36,221,,,,,,,
,,36,221,0.23054546117782593,,,,,,
3.4195148944854736,0.18320000171661377,37,227,,,,,,,
,,37,227,0.21927273273468018,,,,,,
1.8647959232330322,0.3400000035762787,38,233,,,,,,,
,,38,233,0.22763636708259583,,,,,,
1.9067027568817139,0.3479999899864197,39,239,,,,,,,
,,39,239,0.25436362624168396,,,,,,
1.605710506439209,0.41999998688697815,40,245,,,,,,,
,,40,245,0.23654545843601227,,,,,,
,,,249,,0.09337000025557476,0.09337000025557476,,,,
,,41,249,,,,1.8959460258483887,,,
1.8602851629257202,0.31279999017715454,41,251,,,,,,,
,,41,251,0.24963636696338654,,,,,,
