iteration,train_time_s,query_time_s,eig_time_s
0,61.8514,256.2786,246.5763
1,63.9531,274.0218,264.8656
2,33.3199,325.832,317.4758
3,64.0492,493.7907,484.8324
4,55.6509,607.5949,600.3032
5,29.7968,756.919,747.9874
6,66.9989,912.1285,903.1376
7,69.202,1039.4145,1030.2577
8,71.974,1128.3817,1119.3417
9,72.8638,1245.6979,1236.6236
