val/loss,val/acc,epoch,step,train/acc,lr-SGD/pg1,lr-SGD/pg2,train/loss,test/loss,test/acc
2.3083901405334473,0.09200000017881393,0,5,,,,,,
,,0,5,0.11533333361148834,,,,,
2.2877070903778076,0.12540000677108765,1,11,,,,,,
,,1,11,0.12349999696016312,,,,,
2.2025716304779053,0.17579999566078186,2,17,,,,,,
,,2,17,0.14433333277702332,,,,,
2.1322221755981445,0.18799999356269836,3,23,,,,,,
,,3,23,0.16833333671092987,,,,,
2.3928730487823486,0.21140000224113464,4,29,,,,,,
,,4,29,0.1655000001192093,,,,,
2.4878718852996826,0.2280000001192093,5,35,,,,,,
,,5,35,0.17866666615009308,,,,,
3.737671375274658,0.2329999953508377,6,41,,,,,,
,,6,41,0.18833333253860474,,,,,
2.266836404800415,0.2526000142097473,7,47,,,,,,
,,7,47,0.17633333802223206,,,,,
,,,49,,0.08166666666666667,0.08166666666666667,,,
,,8,49,,,,2.1284451484680176,,
1.8407695293426514,0.29820001125335693,8,53,,,,,,
,,8,53,0.21116666495800018,,,,,
1.8693726062774658,0.2840000092983246,9,59,,,,,,
,,9,59,0.2150000035762787,,,,,
2.0467708110809326,0.28360000252723694,10,65,,,,,,
,,10,65,0.22566667199134827,,,,,
1.8370952606201172,0.31459999084472656,11,71,,,,,,
,,11,71,0.24316667020320892,,,,,
1.8533761501312256,0.31619998812675476,12,77,,,,,,
,,12,77,0.23333333432674408,,,,,
1.819199562072754,0.32440000772476196,13,83,,,,,,
,,13,83,0.23350000381469727,,,,,
1.746027946472168,0.350600004196167,14,89,,,,,,
,,14,89,0.2511666715145111,,,,,
1.781700611114502,0.32659998536109924,15,95,,,,,,
,,15,95,0.25433334708213806,,,,,
,,,99,,0.09971150308006689,0.09971150308006689,,,
,,16,99,,,,2.015903949737549,,
1.7533776760101318,0.33980000019073486,16,101,,,,,,
,,16,101,0.25099998712539673,,,,,
1.6903648376464844,0.37720000743865967,17,107,,,,,,
,,17,107,0.24950000643730164,,,,,
1.799214482307434,0.3449999988079071,18,113,,,,,,
,,18,113,0.2759999930858612,,,,,
1.6633400917053223,0.4020000100135803,19,119,,,,,,
,,19,119,0.2641666531562805,,,,,
1.7614353895187378,0.35420000553131104,20,125,,,,,,
,,20,125,0.273333340883255,,,,,
1.661499261856079,0.37880000472068787,21,131,,,,,,
,,21,131,0.2771666646003723,,,,,
1.7670329809188843,0.3763999938964844,22,137,,,,,,
,,22,137,0.2801666557788849,,,,,
1.5794275999069214,0.4275999963283539,23,143,,,,,,
,,23,143,0.2926666736602783,,,,,
,,,149,,0.09850365444235881,0.09850365444235881,,,
,,24,149,,,,1.9010837078094482,,
1.6985349655151367,0.3986000120639801,24,149,,,,,,
,,24,149,0.2933333218097687,,,,,
2.1320624351501465,0.25619998574256897,25,155,,,,,,
,,25,155,0.28850001096725464,,,,,
1.8659898042678833,0.32919999957084656,26,161,,,,,,
,,26,161,0.2841666638851166,,,,,
1.8619853258132935,0.34380000829696655,27,167,,,,,,
,,27,167,0.28833332657814026,,,,,
1.6855884790420532,0.3702000081539154,28,173,,,,,,
,,28,173,0.3016666769981384,,,,,
1.7679849863052368,0.376800000667572,29,179,,,,,,
,,29,179,0.32600000500679016,,,,,
1.5404213666915894,0.43720000982284546,30,185,,,,,,
,,30,185,0.29499998688697815,,,,,
1.7978087663650513,0.36059999465942383,31,191,,,,,,
,,31,191,0.30933332443237305,,,,,
1.4298441410064697,0.48339998722076416,32,197,,,,,,
,,32,197,0.30566665530204773,,,,,
,,,199,,0.09637637874149779,0.09637637874149779,,,
,,33,199,,,,1.8932327032089233,,
1.6592134237289429,0.3889999985694885,33,203,,,,,,
,,33,203,0.3190000057220459,,,,,
1.5943232774734497,0.4131999909877777,34,209,,,,,,
,,34,209,0.33533334732055664,,,,,
1.7067041397094727,0.4153999984264374,35,215,,,,,,
,,35,215,0.32616665959358215,,,,,
1.2970173358917236,0.5166000127792358,36,221,,,,,,
,,36,221,0.3293333351612091,,,,,
1.4486759901046753,0.47440001368522644,37,227,,,,,,
,,37,227,0.3396666646003723,,,,,
1.313950538635254,0.5271999835968018,38,233,,,,,,
,,38,233,0.33933332562446594,,,,,
1.6971378326416016,0.38100001215934753,39,239,,,,,,
,,39,239,0.3541666567325592,,,,,
1.4051213264465332,0.5041999816894531,40,245,,,,,,
,,40,245,0.34966665506362915,,,,,
,,,249,,0.09337000025557476,0.09337000025557476,,,
,,41,249,,,,1.7663133144378662,,
1.4174119234085083,0.49480000138282776,41,251,,,,,,
