lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,
,,1,1.624048113822937,0.3651371896266937,nan,0.08799999952316284,0.12818312644958496,0.04810651019215584,0,,,,,,,,,,,,
,,1,,,,,,,0,0.18971428275108337,nan,0.30000001192092896,nan,0.13333334028720856,,,,,,,
0.0001442986898059786,0.0001442986898059786,2,,,,,,,,,,,,,,,,,,,
,,3,1.594546914100647,0.594199538230896,nan,0.5839999914169312,0.20000000298023224,0.1474747359752655,1,,,,,,,,,,,,
,,3,,,,,,,1,0.5089523792266846,nan,0.699999988079071,nan,nan,,,,,,,
0.0001442986898059786,0.0001442986898059786,4,,,,,,,,,,,,,,,,,,,
,,5,1.5664646625518799,0.6245549321174622,nan,0.5839999914169312,0.20000000298023224,0.1474747359752655,2,,,,,,,,,,,,
,,5,,,,,,,2,0.48249998688697815,nan,0.6000000238418579,nan,nan,,,,,,,
0.0001442986898059786,0.0001442986898059786,6,,,,,,,,,,,,,,,,,,,
,,7,1.5318981409072876,0.5870288014411926,nan,0.5839999914169312,0.20000000298023224,0.1474747359752655,3,,,,,,,,,,,,
,,7,,,,,,,3,0.5259999632835388,nan,0.699999988079071,nan,nan,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,8,,,,,,,,,,,,,,,,,,,
,,9,1.495805025100708,0.6140457987785339,nan,0.5839999914169312,0.20000000298023224,0.1474747359752655,4,,,,,,,,,,,,
,,9,,,,,,,4,0.6000000238418579,nan,1.0,nan,nan,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,10,,,,,,,,,,,,,,,,,,,
,,11,1.4591108560562134,0.6267706155776978,nan,0.5839999914169312,0.20000000298023224,0.1474747359752655,5,,,,,,,,,,,,
,,11,,,,,,,5,0.6000000238418579,nan,1.0,nan,nan,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,12,,,,,,,,,,,,,,,,,,,
,,13,1.4240729808807373,0.6274466514587402,nan,0.8519999980926514,0.35141244530677795,0.3458458483219147,6,,,,,,,,,,,,
,,13,,,,,,,6,0.6000000238418579,nan,0.8999999761581421,nan,nan,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,14,,,,,,,,,,,,,,,,,,,
,,15,1.3937000036239624,0.6298478245735168,nan,0.8799999952316284,0.36901170015335083,0.3596271574497223,7,,,,,,,,,,,,
,,15,,,,,,,7,0.5875000357627869,nan,0.800000011920929,nan,nan,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,16,,,,,,,,,,,,,,,,,,,
,,17,1.3622472286224365,0.6280447244644165,nan,0.8539999723434448,0.3605526089668274,0.34881728887557983,8,,,,,,,,,,,,
,,17,,,,,,,8,0.5920000076293945,nan,0.8999999761581421,nan,nan,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,18,,,,,,,,,,,,,,,,,,,
,,19,1.330758810043335,0.6300637125968933,nan,0.8479999899864197,0.3584977984428406,0.34637370705604553,9,,,,,,,,,,,,
,,19,,,,,,,9,0.5759999752044678,nan,0.699999988079071,nan,nan,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,20,,,,,,,,,,,,,,,,,,,
,,21,1.3002417087554932,0.6392347812652588,nan,0.8519999980926514,0.359867662191391,0.3483043611049652,10,,,,,,,,,,,,
,,21,,,,,,,10,0.6000000238418579,nan,1.0,nan,nan,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,22,,,,,,,,,,,,,,,,,,,
,,23,1.269914984703064,0.6475240588188171,nan,0.8640000224113464,0.36397725343704224,0.3541354238986969,11,,,,,,,,,,,,
,,23,,,,,,,11,0.6000000238418579,nan,0.8999999761581421,nan,nan,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,24,,,,,,,,,,,,,,,,,,,
,,25,1.2376357316970825,0.6577097177505493,nan,0.8740000128746033,0.3674018979072571,0.3610779643058777,12,,,,,,,,,,,,
,,25,,,,,,,12,0.5649523735046387,nan,0.8999999761581421,nan,nan,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,26,,,,,,,,,,,,,,,,,,,
,,27,1.2026373147964478,0.6679672598838806,nan,0.8740000128746033,0.3870846629142761,0.3823254704475403,13,,,,,,,,,,,,
,,27,,,,,,,13,0.5840000510215759,nan,0.8999999761581421,nan,nan,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,28,,,,,,,,,,,,,,,,,,,
,,29,1.1759625673294067,0.6869630217552185,nan,0.8920000195503235,0.42277321219444275,0.41425108909606934,14,,,,,,,,,,,,
,,29,,,,,,,14,0.6000000238418579,nan,0.8999999761581421,nan,nan,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,30,,,,,,,,,,,,,,,,,,,
,,31,1.1400917768478394,0.6907183527946472,nan,0.8920000195503235,0.42277321219444275,0.41356801986694336,15,,,,,,,,,,,,
,,31,,,,,,,15,0.6000000238418579,nan,0.8999999761581421,nan,nan,,,,,,,
1.4429868980597864e-08,1.4429868980597864e-08,32,,,,,,,,,,,,,,,,,,,
,,33,1.107537865638733,0.7013503313064575,nan,0.8859999775886536,0.4189383387565613,0.40944385528564453,16,,,,,,,,,,,,
,,33,,,,,,,16,0.5809523463249207,nan,0.800000011920929,nan,nan,,,,,,,
,,34,,,,,,,17,,,,,,1.1594728231430054,0.7323560118675232,nan,0.8889999985694885,0.39530909061431885,0.39102083444595337,0.39530909061431885
