val/loss,val/acc,epoch,step,train/acc,lr-SGD/pg1,lr-SGD/pg2,train/loss,test/loss,test/acc,test/bacc
2.315800428390503,0.09679999947547913,0,5,,,,,,,
,,0,5,0.08763636648654938,,,,,,
2.3027360439300537,0.14959999918937683,1,11,,,,,,,
,,1,11,0.1125454530119896,,,,,,
2.335603952407837,0.15039999783039093,2,17,,,,,,,
,,2,17,0.10381817817687988,,,,,,
3.041489839553833,0.15520000457763672,3,23,,,,,,,
,,3,23,0.13145454227924347,,,,,,
4.0955963134765625,0.1120000034570694,4,29,,,,,,,
,,4,29,0.13945454359054565,,,,,,
3.7166733741760254,0.14560000598430634,5,35,,,,,,,
,,5,35,0.14018182456493378,,,,,,
3.10455322265625,0.1712000072002411,6,41,,,,,,,
,,6,41,0.15727272629737854,,,,,,
2.524613857269287,0.21040000021457672,7,47,,,,,,,
,,7,47,0.1587272733449936,,,,,,
,,,49,,0.08166666666666667,0.08166666666666667,,,,
,,8,49,,,,2.1429433822631836,,,
2.478156328201294,0.2152000069618225,8,53,,,,,,,
,,8,53,0.1714545488357544,,,,,,
2.4262328147888184,0.20960000157356262,9,59,,,,,,,
,,9,59,0.21618181467056274,,,,,,
2.7172553539276123,0.2207999974489212,10,65,,,,,,,
,,10,65,0.2067272663116455,,,,,,
2.7837979793548584,0.24959999322891235,11,71,,,,,,,
,,11,71,0.20454545319080353,,,,,,
4.092798233032227,0.2680000066757202,12,77,,,,,,,
,,12,77,0.21799999475479126,,,,,,
2.8603434562683105,0.23199999332427979,13,83,,,,,,,
,,13,83,0.2529090940952301,,,,,,
2.2378969192504883,0.2639999985694885,14,89,,,,,,,
,,14,89,0.24327272176742554,,,,,,
2.1210131645202637,0.2784000039100647,15,95,,,,,,,
,,15,95,0.2723636329174042,,,,,,
,,,99,,0.09971150308006689,0.09971150308006689,,,,
,,16,99,,,,1.901999831199646,,,
2.4168219566345215,0.2775999903678894,16,101,,,,,,,
,,16,101,0.26254546642303467,,,,,,
2.487224578857422,0.24639999866485596,17,107,,,,,,,
,,17,107,0.28327271342277527,,,,,,
3.6955039501190186,0.25360000133514404,18,113,,,,,,,
,,18,113,0.28945454955101013,,,,,,
3.562185049057007,0.24959999322891235,19,119,,,,,,,
,,19,119,0.27618181705474854,,,,,,
2.81899094581604,0.2831999957561493,20,125,,,,,,,
,,20,125,0.28672727942466736,,,,,,
2.3631575107574463,0.2896000146865845,21,131,,,,,,,
,,21,131,0.2921818196773529,,,,,,
3.7776551246643066,0.17440000176429749,22,137,,,,,,,
,,22,137,0.29600000381469727,,,,,,
2.631516695022583,0.29840001463890076,23,143,,,,,,,
,,23,143,0.2887272834777832,,,,,,
,,,149,,0.09850365444235881,0.09850365444235881,,,,
,,24,149,,,,1.7801212072372437,,,
2.1113085746765137,0.287200003862381,24,149,,,,,,,
,,24,149,0.3150908946990967,,,,,,
2.0872702598571777,0.30000001192092896,25,155,,,,,,,
,,25,155,0.29763635993003845,,,,,,
2.309539794921875,0.30000001192092896,26,161,,,,,,,
,,26,161,0.32418182492256165,,,,,,
2.473304510116577,0.23520000278949738,27,167,,,,,,,
,,27,167,0.34854546189308167,,,,,,
2.39750075340271,0.2808000147342682,28,173,,,,,,,
,,28,173,0.3505454659461975,,,,,,
2.5055413246154785,0.2919999957084656,29,179,,,,,,,
,,29,179,0.3569090962409973,,,,,,
2.8247780799865723,0.24959999322891235,30,185,,,,,,,
,,30,185,0.35872727632522583,,,,,,
2.4678637981414795,0.29840001463890076,31,191,,,,,,,
,,31,191,0.3654545545578003,,,,,,
2.3270485401153564,0.31439998745918274,32,197,,,,,,,
,,32,197,0.3569090962409973,,,,,,
,,,199,,0.09637637874149779,0.09637637874149779,,,,
,,33,199,,,,1.5539366006851196,,,
2.934340715408325,0.25760000944137573,33,203,,,,,,,
,,33,203,0.3829090893268585,,,,,,
127.41449737548828,0.10000000149011612,34,209,,,,,,,
,,34,209,0.28490909934043884,,,,,,
10.152091026306152,0.10239999741315842,35,215,,,,,,,
,,35,215,0.25963637232780457,,,,,,
4.700500011444092,0.17839999496936798,36,221,,,,,,,
,,36,221,0.3140000104904175,,,,,,
2.6946585178375244,0.2775999903678894,37,227,,,,,,,
,,37,227,0.3503636419773102,,,,,,
2.8845038414001465,0.2815999984741211,38,233,,,,,,,
,,38,233,0.36399999260902405,,,,,,
2.6129086017608643,0.31360000371932983,39,239,,,,,,,
,,39,239,0.3758181929588318,,,,,,
2.035433053970337,0.3440000116825104,40,245,,,,,,,
,,40,245,0.3590908944606781,,,,,,
,,,249,,0.09337000025557476,0.09337000025557476,,,,
,,41,249,,,,1.5467854738235474,,,
2.4701733589172363,0.2712000012397766,41,251,,,,,,,
,,41,251,0.38545453548431396,,,,,,
2.560553550720215,0.3240000009536743,42,257,,,,,,,
,,42,257,0.3803636431694031,,,,,,
2.5217955112457275,0.2935999929904938,43,263,,,,,,,
,,43,263,0.4020000100135803,,,,,,
2.8295958042144775,0.2784000039100647,44,269,,,,,,,
,,44,269,0.42181816697120667,,,,,,
2.556589126586914,0.31520000100135803,45,275,,,,,,,
,,45,275,0.4094545543193817,,,,,,
2.857290267944336,0.3384000062942505,46,281,,,,,,,
,,46,281,0.4083636403083801,,,,,,
3.120435953140259,0.25519999861717224,47,287,,,,,,,
,,47,287,0.3827272653579712,,,,,,
2.5059375762939453,0.3400000035762787,48,293,,,,,,,
,,48,293,0.4020000100135803,,,,,,
,,,299,,0.08954150738626414,0.08954150738626414,,,,
,,49,299,,,,1.399564266204834,,,
2.310558319091797,0.3248000144958496,49,299,,,,,,,
,,49,299,0.4434545338153839,,,,,,
2.519619941711426,0.3440000116825104,50,305,,,,,,,
,,50,305,0.4429090917110443,,,,,,
3.334740161895752,0.2808000147342682,51,311,,,,,,,
,,51,311,0.4187272787094116,,,,,,
2.6709165573120117,0.3368000090122223,52,317,,,,,,,
,,52,317,0.42345455288887024,,,,,,
2.7685325145721436,0.3176000118255615,53,323,,,,,,,
,,53,323,0.47254544496536255,,,,,,
3.013690948486328,0.31279999017715454,54,329,,,,,,,
,,54,329,0.4416363537311554,,,,,,
2.6560840606689453,0.3296000063419342,55,335,,,,,,,
,,55,335,0.4618181884288788,,,,,,
2.75984525680542,0.3431999981403351,56,341,,,,,,,
,,56,341,0.4647272825241089,,,,,,
2.2482855319976807,0.3391999900341034,57,347,,,,,,,
,,57,347,0.43454545736312866,,,,,,
,,,349,,0.0849634723963284,0.0849634723963284,,,,
,,58,349,,,,1.327476978302002,,,
3.6809773445129395,0.29120001196861267,58,353,,,,,,,
,,58,353,0.4421818256378174,,,,,,
2.5515782833099365,0.34880000352859497,59,359,,,,,,,
,,59,359,0.4669090807437897,,,,,,
3.205467462539673,0.2808000147342682,60,365,,,,,,,
,,60,365,0.49054545164108276,,,,,,
3.6561973094940186,0.287200003862381,61,371,,,,,,,
,,61,371,0.49745455384254456,,,,,,
3.118687152862549,0.2696000039577484,62,377,,,,,,,
,,62,377,0.46799999475479126,,,,,,
4.235015392303467,0.2863999903202057,63,383,,,,,,,
,,63,383,0.4710909128189087,,,,,,
6.5573015213012695,0.25519999861717224,64,389,,,,,,,
,,64,389,0.4530909061431885,,,,,,
4.223482131958008,0.26080000400543213,65,395,,,,,,,
,,65,395,0.44200000166893005,,,,,,
,,,399,,0.07972267574208991,0.07972267574208991,,,,
,,66,399,,,,1.1922274827957153,,,
3.003429412841797,0.323199987411499,66,401,,,,,,,
,,66,401,0.48018181324005127,,,,,,
3.41438364982605,0.3440000116825104,67,407,,,,,,,
,,67,407,0.4843636453151703,,,,,,
2.81400203704834,0.35839998722076416,68,413,,,,,,,
,,68,413,0.517090916633606,,,,,,
2.5159122943878174,0.3887999951839447,69,419,,,,,,,
,,69,419,0.5040000081062317,,,,,,
3.639847993850708,0.2775999903678894,70,425,,,,,,,
,,70,425,0.5381818413734436,,,,,,
2.4135050773620605,0.3192000091075897,71,431,,,,,,,
,,71,431,0.4421818256378174,,,,,,
7.81313419342041,0.19840000569820404,72,437,,,,,,,
,,72,437,0.47999998927116394,,,,,,
3.1456093788146973,0.30559998750686646,73,443,,,,,,,
,,73,443,0.4850909113883972,,,,,,
,,,449,,0.07391846107779047,0.07391846107779047,,,,
,,74,449,,,,1.1435911655426025,,,
3.785290241241455,0.29120001196861267,74,449,,,,,,,
,,74,449,0.524545431137085,,,,,,
3.989544630050659,0.3271999955177307,75,455,,,,,,,
,,75,455,0.5309090614318848,,,,,,
3.150228261947632,0.2847999930381775,76,461,,,,,,,
,,76,461,0.5341818332672119,,,,,,
4.073892116546631,0.2727999985218048,77,467,,,,,,,
,,77,467,0.529272735118866,,,,,,
3.6149866580963135,0.30000001192092896,78,473,,,,,,,
,,78,473,0.4699999988079071,,,,,,
3.103653907775879,0.3472000062465668,79,479,,,,,,,
,,79,479,0.5043636560440063,,,,,,
4.179276466369629,0.3255999982357025,80,485,,,,,,,
,,80,485,0.5347272753715515,,,,,,
3.8186070919036865,0.30000001192092896,81,491,,,,,,,
,,81,491,0.5372727513313293,,,,,,
3.242116928100586,0.3384000062942505,82,497,,,,,,,
,,82,497,0.5430908799171448,,,,,,
,,,499,,0.0676608521140981,0.0676608521140981,,,,
,,83,499,,,,1.1095374822616577,,,
3.800704002380371,0.31360000371932983,83,503,,,,,,,
,,83,503,0.5912727117538452,,,,,,
3.72723126411438,0.3440000116825104,84,509,,,,,,,
,,84,509,0.5905454754829407,,,,,,
3.7693464756011963,0.35040000081062317,85,515,,,,,,,
,,85,515,0.5981818437576294,,,,,,
3.1269805431365967,0.35760000348091125,86,521,,,,,,,
,,86,521,0.6116363406181335,,,,,,
3.598507881164551,0.35120001435279846,87,527,,,,,,,
,,87,527,0.5954545736312866,,,,,,
3.2685070037841797,0.3887999951839447,88,533,,,,,,,
,,88,533,0.6058181524276733,,,,,,
3.3968913555145264,0.2935999929904938,89,539,,,,,,,
,,89,539,0.6312727332115173,,,,,,
4.8454766273498535,0.35839998722076416,90,545,,,,,,,
,,90,545,0.6409090757369995,,,,,,
,,,549,,0.06106846702727173,0.06106846702727173,,,,
,,91,549,,,,0.8422105312347412,,,
4.793918132781982,0.3720000088214874,91,551,,,,,,,
,,91,551,0.659818172454834,,,,,,
