lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,
,,1,1.6417438983917236,0.44262295961380005,0,,,,
,,1,,,0,0.5,,,
0.0001442986898059786,0.0001442986898059786,2,,,,,,,
,,3,1.6407049894332886,0.4098360538482666,1,,,,
,,3,,,1,0.699999988079071,,,
0.0001442986898059786,0.0001442986898059786,4,,,,,,,
,,5,1.6397240161895752,0.4098360538482666,2,,,,
,,5,,,2,0.6000000238418579,,,
0.0001442986898059786,0.0001442986898059786,6,,,,,,,
,,7,1.6362080574035645,0.4098360538482666,3,,,,
,,7,,,3,0.800000011920929,,,
1.442986898059786e-05,1.442986898059786e-05,8,,,,,,,
,,9,1.6351921558380127,0.4098360538482666,4,,,,
,,9,,,4,0.699999988079071,,,
1.442986898059786e-05,1.442986898059786e-05,10,,,,,,,
,,11,1.6289244890213013,0.4098360538482666,5,,,,
,,11,,,5,0.800000011920929,,,
1.442986898059786e-05,1.442986898059786e-05,12,,,,,,,
,,13,1.6210147142410278,0.4098360538482666,6,,,,
,,13,,,6,0.800000011920929,,,
1.442986898059786e-05,1.442986898059786e-05,14,,,,,,,
,,15,1.6068572998046875,0.4098360538482666,7,,,,
,,15,,,7,0.8999999761581421,,,
1.4429868980597862e-06,1.4429868980597862e-06,16,,,,,,,
,,17,1.5902297496795654,0.4098360538482666,8,,,,
,,17,,,8,0.8999999761581421,,,
1.4429868980597862e-06,1.4429868980597862e-06,18,,,,,,,
,,19,1.5694819688796997,0.4098360538482666,9,,,,
,,19,,,9,0.800000011920929,,,
1.4429868980597862e-06,1.4429868980597862e-06,20,,,,,,,
,,21,1.5478450059890747,0.4098360538482666,10,,,,
,,21,,,10,0.800000011920929,,,
1.4429868980597862e-06,1.4429868980597862e-06,22,,,,,,,
,,23,1.5191327333450317,0.4098360538482666,11,,,,
,,23,,,11,0.8999999761581421,,,
1.4429868980597863e-07,1.4429868980597863e-07,24,,,,,,,
,,25,1.484127402305603,0.4098360538482666,12,,,,
,,25,,,12,0.8999999761581421,,,
1.4429868980597863e-07,1.4429868980597863e-07,26,,,,,,,
,,27,1.4480239152908325,0.4098360538482666,13,,,,
,,27,,,13,0.8999999761581421,,,
1.4429868980597863e-07,1.4429868980597863e-07,28,,,,,,,
,,29,1.4101938009262085,0.4098360538482666,14,,,,
,,29,,,14,0.8999999761581421,,,
1.4429868980597863e-07,1.4429868980597863e-07,30,,,,,,,
,,31,1.373315453529358,0.4098360538482666,15,,,,
,,31,,,15,0.8999999761581421,,,
1.4429868980597864e-08,1.4429868980597864e-08,32,,,,,,,
,,33,1.3365848064422607,0.4262295067310333,16,,,,
,,33,,,16,0.8999999761581421,,,
,,34,,,17,,1.6880781650543213,0.3548888862133026,0.25147581100463867
