iteration,train_time_s,query_time_s,eig_time_s
0,28.0273,90.4004,74.1987
1,31.1148,156.3765,139.8753
2,31.9149,220.0394,203.239
3,33.0592,273.2889,256.4117
4,33.6982,326.977,309.8976
5,35.0846,416.6551,399.6676
6,35.5634,476.2556,459.2928
7,36.5479,533.6422,516.5715
8,37.2328,596.4294,579.1065
9,38.3484,665.3819,647.8017
