lr-Adam/pg1,lr-Adam/pg2,step,train/loss,epoch,val/loss,val/acc,train/acc,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,49,0.3218185305595398,0,,,,,,
,,49,,0,0.39720895886421204,0.8928571343421936,,,,
,,49,,0,,,0.8725000023841858,,,
0.0001442986898059786,0.0001442986898059786,50,,,,,,,,
,,99,0.15037518739700317,1,,,,,,
,,99,,1,0.3635379374027252,0.875,,,,
,,99,,1,,,0.9275000095367432,,,
0.0001442986898059786,0.0001442986898059786,100,,,,,,,,
,,149,0.0991838127374649,2,,,,,,
,,149,,2,0.3148704469203949,0.8928571343421936,,,,
,,149,,2,,,0.9300000071525574,,,
0.0001442986898059786,0.0001442986898059786,150,,,,,,,,
,,199,0.049127764999866486,3,,,,,,
,,199,,3,0.2765812575817108,0.8928571343421936,,,,
,,199,,3,,,0.9275000095367432,,,
1.442986898059786e-05,1.442986898059786e-05,200,,,,,,,,
,,249,0.06377963721752167,4,,,,,,
,,249,,4,0.3300279676914215,0.875,,,,
,,249,,4,,,0.9325000047683716,,,
1.442986898059786e-05,1.442986898059786e-05,250,,,,,,,,
,,299,0.3513767421245575,5,,,,,,
,,299,,5,0.3027312755584717,0.8928571343421936,,,,
,,299,,5,,,0.9325000047683716,,,
1.442986898059786e-05,1.442986898059786e-05,300,,,,,,,,
,,349,0.04909706860780716,6,,,,,,
,,349,,6,0.3000624477863312,0.8928571343421936,,,,
,,349,,6,,,0.9350000023841858,,,
1.442986898059786e-05,1.442986898059786e-05,350,,,,,,,,
,,399,0.03852435201406479,7,,,,,,
,,399,,7,0.283760130405426,0.8928571343421936,,,,
,,399,,7,,,0.9424999952316284,,,
1.4429868980597862e-06,1.4429868980597862e-06,400,,,,,,,,
,,449,0.05111704021692276,8,,,,,,
,,449,,8,0.30516868829727173,0.875,,,,
,,449,,8,,,0.9350000023841858,,,
1.4429868980597862e-06,1.4429868980597862e-06,450,,,,,,,,
,,499,0.06945332139730453,9,,,,,,
,,499,,9,0.28274208307266235,0.8928571343421936,,,,
,,499,,9,,,0.9350000023841858,,,
1.4429868980597862e-06,1.4429868980597862e-06,500,,,,,,,,
,,549,0.051121845841407776,10,,,,,,
,,549,,10,0.28956741094589233,0.8928571343421936,,,,
,,549,,10,,,0.9375,,,
1.4429868980597862e-06,1.4429868980597862e-06,550,,,,,,,,
,,599,0.14774209260940552,11,,,,,,
,,599,,11,0.2775239050388336,0.8928571343421936,,,,
,,599,,11,,,0.9375,,,
1.4429868980597863e-07,1.4429868980597863e-07,600,,,,,,,,
,,649,0.1290283203125,12,,,,,,
,,649,,12,0.2726830542087555,0.8928571343421936,,,,
,,649,,12,,,0.9399999976158142,,,
1.4429868980597863e-07,1.4429868980597863e-07,650,,,,,,,,
,,699,0.10426943004131317,13,,,,,,
,,699,,13,0.2801623046398163,0.8928571343421936,,,,
,,699,,13,,,0.9375,,,
1.4429868980597863e-07,1.4429868980597863e-07,700,,,,,,,,
,,749,0.06965169310569763,14,,,,,,
,,749,,14,0.29177960753440857,0.8928571343421936,,,,
,,749,,14,,,0.9375,,,
1.4429868980597863e-07,1.4429868980597863e-07,750,,,,,,,,
,,799,0.04357512295246124,15,,,,,,
,,799,,15,0.2891933023929596,0.8928571343421936,,,,
,,799,,15,,,0.9325000047683716,,,
1.4429868980597864e-08,1.4429868980597864e-08,800,,,,,,,,
,,849,0.49585914611816406,16,,,,,,
,,849,,16,0.28896239399909973,0.8928571343421936,,,,
,,849,,16,,,0.9399999976158142,,,
,,850,,17,,,,0.2967929542064667,0.9259999990463257,0.3938596844673157
