iteration,train_time_s,query_time_s,eig_time_s
0,21.807,93.4141,
1,23.5785,148.1023,
2,24.0457,208.2952,
3,25.0504,261.1901,
4,25.4493,316.136,
5,26.4399,399.7557,
6,26.6936,459.705,
7,27.8519,520.0072,
8,29.0084,582.4142,
9,30.3136,650.4317,
