val/loss,val/acc,epoch,step,train/acc,test/loss,test/acc,test/bacc
2.319244861602783,0.07959999889135361,0,5,,,,
,,0,5,0.09745454788208008,,,
2.302755117416382,0.11680000275373459,1,11,,,,
,,1,11,0.10763636231422424,,,
2.714275360107422,0.1225999966263771,2,17,,,,
,,2,17,0.10181818157434464,,,
,,3,18,,2.6915903091430664,0.1216999962925911,0.12170000374317169
