val/loss,val/acc,epoch,step,train/acc,lr-SGD/pg1,lr-SGD/pg2,train/loss
2.2993125915527344,0.1080000028014183,0,5,,,,
,,0,5,0.10400000214576721,,,
2.243830680847168,0.18000000715255737,1,11,,,,
,,1,11,0.1656363606452942,,,
2.3061161041259766,0.1720000058412552,2,17,,,,
,,2,17,0.2836363613605499,,,
3.022139549255371,0.1679999977350235,3,23,,,,
,,3,23,0.35436365008354187,,,
3.545757293701172,0.2160000056028366,4,29,,,,
,,4,29,0.39454546570777893,,,
4.4508442878723145,0.14399999380111694,5,35,,,,
,,5,35,0.5052727460861206,,,
7.076533317565918,0.18400000035762787,6,41,,,,
,,6,41,0.504909098148346,,,
5.601724147796631,0.21199999749660492,7,47,,,,
,,7,47,0.6079999804496765,,,
,,,49,,0.08166666666666667,0.08166666666666667,
,,8,49,,,,1.0930169820785522
7.866588592529297,0.20800000429153442,8,53,,,,
,,8,53,0.6538181900978088,,,
411.66839599609375,0.10000000149011612,9,59,,,,
,,9,59,0.5339999794960022,,,
6891.48046875,0.09600000083446503,10,65,,,,
,,10,65,0.3959999978542328,,,
563.3901977539062,0.08799999952316284,11,71,,,,
,,11,71,0.46345454454421997,,,
55.0908088684082,0.11999999731779099,12,77,,,,
,,12,77,0.5678181648254395,,,
5.951613426208496,0.18799999356269836,13,83,,,,
,,13,83,0.6490908861160278,,,
4.055546283721924,0.17599999904632568,14,89,,,,
,,14,89,0.7169091105461121,,,
4.053284168243408,0.19599999487400055,15,95,,,,
,,15,95,0.7400000095367432,,,
,,,99,,0.09971150308006689,0.09971150308006689,
,,16,99,,,,0.7118886113166809
4.380404472351074,0.2199999988079071,16,101,,,,
,,16,101,0.7469090819358826,,,
3.486307144165039,0.2639999985694885,17,107,,,,
,,17,107,0.7789090871810913,,,
4.031803607940674,0.2240000069141388,18,113,,,,
,,18,113,0.8021818399429321,,,
3.423313856124878,0.2240000069141388,19,119,,,,
,,19,119,0.7703636288642883,,,
3.666443347930908,0.24400000274181366,20,125,,,,
,,20,125,0.8259999752044678,,,
3.404085874557495,0.2639999985694885,21,131,,,,
,,21,131,0.8299999833106995,,,
4.069794654846191,0.24400000274181366,22,137,,,,
,,22,137,0.861090898513794,,,
3.8505353927612305,0.20399999618530273,23,143,,,,
,,23,143,0.8636363744735718,,,
,,,149,,0.09850365444235881,0.09850365444235881,
,,24,149,,,,0.532597005367279
4.263086318969727,0.30000001192092896,24,149,,,,
,,24,149,0.782909095287323,,,
14.130451202392578,0.2160000056028366,25,155,,,,
,,25,155,0.7887272834777832,,,
5.645349502563477,0.24799999594688416,26,161,,,,
,,26,161,0.8140000104904175,,,
9.105497360229492,0.2639999985694885,27,167,,,,
,,27,167,0.7039999961853027,,,
3.8271615505218506,0.2280000001192093,28,173,,,,
,,28,173,0.7823636531829834,,,
3.431685447692871,0.21199999749660492,29,179,,,,
,,29,179,0.8005454540252686,,,
3.5481390953063965,0.23999999463558197,30,185,,,,
,,30,185,0.8485454320907593,,,
3.440019130706787,0.24799999594688416,31,191,,,,
,,31,191,0.8550909161567688,,,
3.9158504009246826,0.2759999930858612,32,197,,,,
,,32,197,0.8630909323692322,,,
,,,199,,0.09637637874149779,0.09637637874149779,
,,33,199,,,,0.3464835584163666
3.394599676132202,0.2919999957084656,33,203,,,,
,,33,203,0.8941818475723267,,,
3.7964682579040527,0.2840000092983246,34,209,,,,
,,34,209,0.8929091095924377,,,
3.2997357845306396,0.30799999833106995,35,215,,,,
,,35,215,0.8787272572517395,,,
3.932370901107788,0.23199999332427979,36,221,,,,
,,36,221,0.8867272734642029,,,
3.2183213233947754,0.25200000405311584,37,227,,,,
,,37,227,0.8999999761581421,,,
3.7682559490203857,0.2680000066757202,38,233,,,,
,,38,233,0.8754545450210571,,,
4.04863977432251,0.24400000274181366,39,239,,,,
,,39,239,0.890181839466095,,,
4.294659614562988,0.25600001215934753,40,245,,,,
,,40,245,0.8992727398872375,,,
,,,249,,0.09337000025557476,0.09337000025557476,
,,41,249,,,,0.2862603962421417
3.563377857208252,0.2720000147819519,41,251,,,,
,,41,251,0.9072727560997009,,,
3.8029184341430664,0.23600000143051147,42,257,,,,
,,42,257,0.9063636660575867,,,
3.54580020904541,0.2919999957084656,43,263,,,,
,,43,263,0.9176363348960876,,,
4.360358238220215,0.24799999594688416,44,269,,,,
,,44,269,0.8930909037590027,,,
4.004439353942871,0.2800000011920929,45,275,,,,
,,45,275,0.876909077167511,,,
3.7044687271118164,0.2759999930858612,46,281,,,,
,,46,281,0.9065454602241516,,,
3.562434673309326,0.25999999046325684,47,287,,,,
,,47,287,0.923090934753418,,,
3.6175243854522705,0.23199999332427979,48,293,,,,
,,48,293,0.9240000247955322,,,
,,,299,,0.08954150738626414,0.08954150738626414,
,,49,299,,,,0.19967980682849884
3.612342357635498,0.2840000092983246,49,299,,,,
,,49,299,0.9330909252166748,,,
3.863354444503784,0.2800000011920929,50,305,,,,
,,50,305,0.9238181710243225,,,
4.179598331451416,0.24400000274181366,51,311,,,,
,,51,311,0.9327272772789001,,,
3.743788957595825,0.2680000066757202,52,317,,,,
,,52,317,0.9336363673210144,,,
4.046417713165283,0.25600001215934753,53,323,,,,
,,53,323,0.9383636116981506,,,
3.532111644744873,0.2720000147819519,54,329,,,,
,,54,329,0.9403636455535889,,,
3.8163461685180664,0.2800000011920929,55,335,,,,
,,55,335,0.9434545636177063,,,
4.503622055053711,0.24799999594688416,56,341,,,,
,,56,341,0.9207272529602051,,,
4.0345001220703125,0.23600000143051147,57,347,,,,
,,57,347,0.934181809425354,,,
,,,349,,0.0849634723963284,0.0849634723963284,
,,58,349,,,,0.41279011964797974
5.978330135345459,0.23999999463558197,58,353,,,,
,,58,353,0.8618181943893433,,,
4.460207939147949,0.2680000066757202,59,359,,,,
,,59,359,0.9016363620758057,,,
4.936465740203857,0.2240000069141388,60,365,,,,
