Method,mean,std
BADGE,0.4696981454337084,0.012182751443353011
BALD,0.46486111040468564,0.006933178170817411
Bandit,0.46862777515693943,0.014969450904851496
Core-Set,0.4758129649692111,0.01746764743824974
Entropy,0.4350444453733939,0.009943948428761517
Random,0.4685111101026888,0.012605431128682492
Vendi,0.457459263227604,0.023114935053297155
