Method,mean,std
Bandit-rbf-0.1,0.4789740741252899,0.02259791667382974
Bandit-rbf-10.0,0.47744073801570464,0.02975271579283206
BADGE,0.4706537000558994,0.01055444769732445
Random,0.4696277782872871,0.011012649525133922
Bandit-rbf-1.0,0.4677666679576591,0.02154342947453324
Core-Set,0.4663925938032291,0.02006186563071337
BALD,0.46486111040468564,0.006201223076026149
Vendi-rbf-1.0,0.45888148082627184,0.01624824979579634
Vendi-rbf-0.1,0.4508203665415446,0.007625049221515131
Vendi-rbf-10.0,0.45071110791630203,0.051208690963996745
Bandit-cosine,0.44863888400572316,0.01339246801033747
Entropy,0.4421101852699562,0.011650195311393944
Vendi-cosine,0.4025425916468655,0.03753750695987707
