Method,mean,std
BADGE,0.9089074090675071,0.020151153665806106
Random,0.8930185227482407,0.014263001704760012
BALD,0.8877962982213056,0.047602925540618415
Vendi,0.8776851859357621,0.04268685974197086
Bandit,0.8682962965082238,0.057765334329159694
Core-Set,0.8678333284678282,0.07161046612004111
Entropy,0.8557962940798866,0.040413460828860166
