Method,mean,std
Vendi-rbf-0.1,0.643201853941988,0.011191740676973129
Vendi-rbf-1.0,0.6221592608425351,0.014632398671425201
Bandit-rbf-1.0,0.609529631557288,0.007559899648913792
Bandit-rbf-0.1,0.6094759233571865,0.014487677093099725
Core-Set,0.6017703689910747,0.02120566821224704
BALD,0.5743166710491533,0.025041889960057736
BADGE,0.5432888876508782,0.02173109026856395
Random,0.5189018528218622,0.04671372539994395
Bandit-cosine,0.5134444485108057,0.009513447000272018
Entropy,0.505292591949304,0.030306192587280758
Bandit-rbf-10.0,0.4728240784671571,0.033708430316003776
Vendi-cosine,0.4677370334113085,0.02145279399652691
Vendi-rbf-10.0,0.3707314856626369,0.015052297744312668
