Method,mean,std
BADGE,0.9392592642042371,0.00234411303980912
BALD,0.9365740749571058,0.0052822614809797785
Entropy,0.936481483556606,0.012057644841004099
Core-Set,0.9357407413147113,0.004181577535048034
Vendi,0.9340370385735124,0.006011906562243193
Random,0.933592586605637,0.002479752787026373
Bandit,0.9326851853617916,0.0026447760665921807
