Method,mean,std
BADGE,0.8621814824916697,0.001976199924948809
BALD,0.857255557069072,0.0008128788580389728
Core-Set,0.8631962968243493,0.0006336345276584747
Entropy,0.8503981442363173,0.00173172499237683
Random,0.8523314860132006,0.0018027442671019085
