Method,mean,std
Vendi-rbf-0.1,0.4017962989983735,0.02744921510554535
Core-Set,0.40176111018216165,0.011576347526974392
Bandit-rbf-10.0,0.39230277885993314,0.02126426869774173
BALD,0.39218703464225485,0.01612587231742525
Bandit-rbf-1.0,0.39206851798075215,0.018114368056564883
BADGE,0.3897907380704526,0.015185886607525264
Random,0.3875277770890129,0.028490163660728023
Vendi-rbf-1.0,0.38522777844358375,0.035530787865949855
Bandit-rbf-0.1,0.384850001445523,0.023287803170686707
Entropy,0.37433518303765184,0.023700723658311842
Vendi-cosine,0.3734185182385974,0.04042864612010486
Bandit-cosine,0.3698148147927389,0.024237435840304807
Vendi-rbf-10.0,0.33611296117305756,0.022424322181984556
