Method,mean,std
Vendi-rbf-10.0,0.7381999947958522,0.0011549348700486987
Bandit-rbf-10.0,0.7338481495777766,0.003190994354060525
Core-Set,0.7330351858227341,0.004039087856179595
BADGE,0.7323250003434993,0.005023896265326841
Random,0.7277842588998653,0.0065230962449566565
Bandit-rbf-1.0,0.7253833352415651,0.0011508580095433262
BALD,0.7228796288922981,0.0048058851985268575
Bandit-rbf-0.1,0.7228240762595778,0.0049613043237219665
Bandit-cosine,0.7224037012568226,0.004228522128883155
Vendi-rbf-1.0,0.721737031031538,0.005044370677649429
Vendi-cosine,0.7181685141943118,0.006869431067956791
Vendi-rbf-0.1,0.7151722229189342,0.007613544967440593
Entropy,0.6945407412670277,0.004054174553358825
