iteration,train_time_s,query_time_s,eig_time_s
0,43.6628,169.3001,
1,59.0785,243.079,
2,59.987,372.3716,
3,60.0356,490.9569,
4,61.0206,610.1672,
5,65.1935,787.4676,
6,68.1591,921.2178,
7,69.688,1053.3108,
8,75.3102,1225.517,
9,76.8099,1253.4635,
