iteration,train_time_s,query_time_s,eig_time_s
0,68.1688,88.2015,
1,42.881,106.8912,
2,57.2616,140.8315,
3,74.5451,161.9245,
4,93.5208,225.0746,
5,101.3581,284.6346,
6,90.9398,345.7919,
7,114.7256,384.8628,
8,103.8133,407.5967,
9,109.1494,473.7791,
