iteration,train_time_s,query_time_s,eig_time_s
0,42.3367,5.5679,
1,52.2836,5.5347,
2,52.45,5.5517,
3,50.955,5.5617,
4,47.5735,5.5425,
5,59.6607,5.6832,
6,50.3468,5.5195,
7,47.7073,5.5177,
8,55.1272,5.5186,
9,57.4575,5.7124,
