lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,
,,1,1.6898889541625977,0.6078706979751587,nan,0.2199999988079071,0.23751410841941833,0.09399066865444183,0,,,,,,,,,,,,
,,1,,,,,,,0,0.36190474033355713,nan,0.30000001192092896,nan,0.12000000476837158,,,,,,,
0.0001442986898059786,0.0001442986898059786,2,,,,,,,,,,,,,,,,,,,
,,3,1.6961193084716797,0.6760366559028625,nan,0.3440000116825104,0.26983052492141724,0.13703292608261108,1,,,,,,,,,,,,
,,3,,,,,,,1,0.5714285373687744,nan,0.30000001192092896,nan,0.12000000476837158,,,,,,,
0.0001442986898059786,0.0001442986898059786,4,,,,,,,,,,,,,,,,,,,
,,5,1.704119086265564,0.70681232213974,nan,0.3540000021457672,0.20000000298023224,0.10457901656627655,2,,,,,,,,,,,,
,,5,,,,,,,2,0.7333332896232605,nan,0.30000001192092896,nan,0.2142857015132904,,,,,,,
0.0001442986898059786,0.0001442986898059786,6,,,,,,,,,,,,,,,,,,,
,,7,1.7085908651351929,0.743365466594696,nan,0.3540000021457672,0.20000000298023224,0.10457901656627655,3,,,,,,,,,,,,
,,7,,,,,,,3,0.6920635104179382,nan,0.4000000059604645,nan,0.23333334922790527,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,8,,,,,,,,,,,,,,,,,,,
,,9,1.7148065567016602,0.7467419505119324,nan,0.3540000021457672,0.20000000298023224,0.10457901656627655,4,,,,,,,,,,,,
,,9,,,,,,,4,0.7809523940086365,nan,0.5,nan,nan,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,10,,,,,,,,,,,,,,,,,,,
,,11,1.717208743095398,0.728795051574707,nan,0.3540000021457672,0.20000000298023224,0.10457901656627655,5,,,,,,,,,,,,
,,11,,,,,,,5,0.7142857909202576,nan,0.699999988079071,nan,nan,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,12,,,,,,,,,,,,,,,,,,,
,,13,1.7164525985717773,0.7066143155097961,nan,0.3540000021457672,0.20000000298023224,0.10457901656627655,6,,,,,,,,,,,,
,,13,,,,,,,6,0.6380952000617981,nan,0.4000000059604645,nan,0.25333333015441895,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,14,,,,,,,,,,,,,,,,,,,
,,15,1.7155226469039917,0.6850700378417969,nan,0.3540000021457672,0.20000000298023224,0.10457901656627655,7,,,,,,,,,,,,
,,15,,,,,,,7,0.7047619223594666,nan,0.5,nan,0.41999998688697815,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,16,,,,,,,,,,,,,,,,,,,
,,17,1.7133359909057617,0.6730449795722961,nan,0.3540000021457672,0.20000000298023224,0.10457901656627655,8,,,,,,,,,,,,
,,17,,,,,,,8,0.6666666865348816,0.5665972232818604,0.5,nan,0.38333335518836975,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,18,,,,,,,,,,,,,,,,,,,
,,19,1.709403395652771,0.6622604131698608,nan,0.3540000021457672,0.20000000298023224,0.10457901656627655,9,,,,,,,,,,,,
,,19,,,,,,,9,0.714285671710968,nan,0.5,nan,nan,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,20,,,,,,,,,,,,,,,,,,,
,,21,1.7074527740478516,0.6645194888114929,nan,0.3540000021457672,0.20000000298023224,0.10457901656627655,10,,,,,,,,,,,,
,,21,,,,,,,10,0.5841269493103027,nan,0.30000001192092896,nan,nan,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,22,,,,,,,,,,,,,,,,,,,
,,23,1.7004605531692505,0.6702560186386108,nan,0.3479999899864197,0.19661016762256622,0.10326409339904785,11,,,,,,,,,,,,
,,23,,,,,,,11,0.7619047164916992,nan,0.6000000238418579,nan,0.44333332777023315,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,24,,,,,,,,,,,,,,,,,,,
,,25,1.6911225318908691,0.6730336546897888,nan,0.33799999952316284,0.19096045196056366,0.10119760036468506,12,,,,,,,,,,,,
,,25,,,,,,,12,0.761904776096344,0.7875000238418579,0.699999988079071,nan,0.5647619366645813,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,26,,,,,,,,,,,,,,,,,,,
,,27,1.6866713762283325,0.6803170442581177,nan,0.33399999141693115,0.1887005716562271,0.10090634971857071,13,,,,,,,,,,,,
,,27,,,,,,,13,0.6380952596664429,nan,0.5,nan,nan,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,28,,,,,,,,,,,,,,,,,,,
,,29,1.6838696002960205,0.6824695467948914,nan,0.33000001311302185,0.18644067645072937,0.10107197612524033,14,,,,,,,,,,,,
,,29,,,,,,,14,0.6571428179740906,nan,0.4000000059604645,nan,nan,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,30,,,,,,,,,,,,,,,,,,,
,,31,1.6735773086547852,0.6888154745101929,nan,0.3179999887943268,0.17966100573539734,0.10047392547130585,15,,,,,,,,,,,,
,,31,,,,,,,15,0.7587301135063171,nan,0.4000000059604645,nan,nan,,,,,,,
1.4429868980597864e-08,1.4429868980597864e-08,32,,,,,,,,,,,,,,,,,,,
,,33,1.665175437927246,0.6938953995704651,nan,0.3140000104904175,0.1774011254310608,0.10590219497680664,16,,,,,,,,,,,,
,,33,,,,,,,16,0.7428571581840515,0.7451388835906982,0.6000000238418579,nan,0.5047619342803955,,,,,,,
,,34,,,,,,,17,,,,,,nan,0.6696843504905701,nan,0.3499999940395355,0.2879379689693451,0.14502713084220886,0.2879379987716675
