iteration,train_time_s,query_time_s,eig_time_s
0,224.3391,63.6315,58.7062
1,225.295,111.4234,106.0993
2,225.6992,169.5252,164.0713
3,226.5644,221.0612,215.5576
4,225.9976,299.4439,293.8258
5,227.1784,362.0278,356.483
6,227.0956,428.6062,423.2137
7,226.3777,500.669,495.1423
8,227.2223,654.5602,649.0177
9,226.7249,760.5465,755.037
