iteration,train_time_s,query_time_s,eig_time_s
0,31.4682,7.0617,
1,44.9218,7.5205,
2,46.3492,7.2749,
3,47.5431,7.8152,
4,49.5835,7.488,
5,51.8664,7.4431,
6,45.1444,7.6851,
7,47.4609,7.7433,
8,47.9407,7.662,
9,47.941,7.6747,
