iteration,train_time_s,query_time_s,eig_time_s
0,34.5939,5.5167,
1,36.9739,5.4882,
2,37.6574,5.5439,
3,49.3201,5.5092,
4,45.5687,5.4496,
5,44.7677,5.5854,
6,49.0759,5.4668,
7,44.8172,5.5315,
8,53.0612,5.5923,
9,47.8178,5.4564,
