lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,test/loss,test/auroc,test/auprc,test/acc,test/w_acc,test/av_prec,test/av_f1,test/bacc
0.0005,0.0005,0,,,,,,,,,,,,,,,,,,,,,,
,,1,1.1303191184997559,0.4684488773345947,0.5007257461547852,0.5024553537368774,0.5024553537368774,0.6453533172607422,0.3403216600418091,0,,,,,,,,,,,,,,
,,1,,,,,,,,0,0.32323235273361206,0.014705882407724857,0.6800000071525574,0.34343433380126953,0.49275362491607666,0.4047619104385376,,,,,,,,
0.0005,0.0005,2,,,,,,,,,,,,,,,,,,,,,,
,,3,1.9051655530929565,0.48629096150398254,0.5077557563781738,0.5002232193946838,0.5002232193946838,0.7500557899475098,0.3338291645050049,1,,,,,,,,,,,,,,
,,3,,,,,,,,1,0.6565656661987305,0.02857142873108387,0.7699999809265137,0.3888888955116272,0.49358972907066345,0.4350282549858093,,,,,,,,
5e-05,5e-05,4,,,,,,,,,,,,,,,,,,,,,,
,,5,1.822864294052124,0.4861200749874115,0.5079382658004761,0.5002232193946838,0.5002232193946838,0.7500557899475098,0.3338291645050049,2,,,,,,,,,,,,,,
,,5,,,,,,,,2,0.7171717286109924,0.03448275849223137,0.8399999737739563,0.42424243688583374,0.4941176474094391,0.45652174949645996,,,,,,,,
5e-05,5e-05,6,,,,,,,,,,,,,,,,,,,,,,
,,7,1.712910532951355,0.4855891168117523,0.5079846382141113,0.5002232193946838,0.5002232193946838,0.7500557899475098,0.3338291645050049,3,,,,,,,,,,,,,,
,,7,,,,,,,,3,0.6060606241226196,0.02500000037252903,0.8500000238418579,0.4292929172515869,0.49418604373931885,0.45945945382118225,,,,,,,,
5e-06,5e-06,8,,,,,,,,,,,,,,,,,,,,,,
,,9,1.7035163640975952,0.48548629879951477,0.5079505443572998,0.5004464387893677,0.5004464387893677,0.7501116991043091,0.3343246281147003,4,,,,,,,,,,,,,,
,,9,,,,,,,,4,0.6363636255264282,0.027027027681469917,0.8199999928474426,0.4141414165496826,0.4939759075641632,0.450549453496933,,,,,,,,
5e-06,5e-06,10,,,,,,,,,,,,,,,,,,,,,,
,,11,1.6965506076812744,0.48542520403862,0.5079563856124878,0.5004464387893677,0.5004464387893677,0.7501116991043091,0.3343246281147003,5,,,,,,,,,,,,,,
,,11,,,,,,,,5,0.8989899158477783,0.09090909361839294,0.8600000143051147,0.9292929172515869,0.5333333611488342,0.5244565010070801,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,12,,,,,,,,,,,,,,,,,,,,,,
,,13,1.6957769393920898,0.4854218363761902,0.507961630821228,0.5004464387893677,0.5004464387893677,0.7501116991043091,0.3343246281147003,6,,,,,,,,,,,,,,
,,13,,,,,,,,6,0.6666666269302368,0.029411764815449715,0.8500000238418579,0.4292929172515869,0.49418604373931885,0.45945945382118225,,,,,,,,
5.000000000000001e-07,5.000000000000001e-07,14,,,,,,,,,,,,,,,,,,,,,,
,,15,1.6954504251480103,0.48543208837509155,0.507972240447998,0.5004464387893677,0.5004464387893677,0.7501116991043091,0.3343246281147003,7,,,,,,,,,,,,,,
,,15,,,,,,,,7,0.23232322931289673,0.012987012974917889,0.8199999928474426,0.4141414165496826,0.4939759075641632,0.450549453496933,,,,,,,,
5.000000000000001e-08,5.000000000000001e-08,16,,,,,,,,,,,,,,,,,,,,,,
,,17,1.695389986038208,0.48543328046798706,0.5079785585403442,0.5004464387893677,0.5004464387893677,0.7501116991043091,0.3343246281147003,8,,,,,,,,,,,,,,
,,17,,,,,,,,8,0.6060606241226196,0.02500000037252903,0.8299999833106995,0.4191919267177582,0.494047611951828,0.45355191826820374,,,,,,,,
5.000000000000001e-08,5.000000000000001e-08,18,,,,,,,,,,,,,,,,,,,,,,
,,19,1.6952600479125977,0.4854291081428528,0.507972240447998,0.5004464387893677,0.5004464387893677,0.7501116991043091,0.3343246281147003,9,,,,,,,,,,,,,,
,,19,,,,,,,,9,0.12121212482452393,0.011363636702299118,0.8199999928474426,0.4141414165496826,0.4939759075641632,0.450549453496933,,,,,,,,
,,20,,,,,,,,10,,,,,,,1.9332661628723145,0.48255956172943115,0.5077004432678223,0.5,0.5,0.5,0.33372974395751953,0.5
