Method,mean,std
BADGE,0.5573833303319083,0.021401229889696713
BALD,0.5743166710491533,0.027997684117879257
Core-Set,0.6091203684056247,0.012961493810678794
Entropy,0.526840740331897,0.026594608609371108
Random,0.5597259308452959,0.013994416106051755
Vendi,0.6026574053146221,0.026431710963051868
Vendi (L2),0.5812925900574083,0.012789164114895675
Vendi (MinMax),0.6240222205718359,0.014617101265416274
