iteration,train_time_s,query_time_s,eig_time_s
0,27.9025,99.4324,83.9355
1,30.9768,154.4594,138.6615
2,31.9065,213.3984,197.3206
3,33.0414,268.8643,252.9252
4,33.5202,323.4982,307.2174
5,34.7705,409.3803,392.9619
6,35.1066,471.1485,454.7177
7,36.4102,534.6508,517.9038
8,37.1237,610.3645,593.7515
9,37.9238,677.9577,661.1153
