iteration,train_time_s,query_time_s,eig_time_s
0,21.4308,512.0131,
1,22.8537,513.6,
2,23.5849,521.9487,
3,24.6446,521.5532,
4,25.2353,518.1993,
5,25.9325,524.0307,
6,26.4825,519.7919,
7,27.5259,526.0286,
8,28.8485,528.5503,
9,29.1178,528.764,
