lr-Adam/pg1,lr-Adam/pg2,step,train/loss,epoch,val/loss,val/acc,train/acc,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,49,0.12009572237730026,0,,,,,,
,,49,,0,0.3959430158138275,0.8928571343421936,,,,
,,49,,0,,,0.8575000166893005,,,
0.0001442986898059786,0.0001442986898059786,50,,,,,,,,
,,99,0.16958853602409363,1,,,,,,
,,99,,1,0.42821672558784485,0.875,,,,
,,99,,1,,,0.8924999833106995,,,
0.0001442986898059786,0.0001442986898059786,100,,,,,,,,
,,149,0.0794956311583519,2,,,,,,
,,149,,2,0.40999555587768555,0.875,,,,
,,149,,2,,,0.9375,,,
0.0001442986898059786,0.0001442986898059786,150,,,,,,,,
,,199,0.05772053450345993,3,,,,,,
,,199,,3,0.2910554111003876,0.8928571343421936,,,,
,,199,,3,,,0.9275000095367432,,,
1.442986898059786e-05,1.442986898059786e-05,200,,,,,,,,
,,249,0.1215844675898552,4,,,,,,
,,249,,4,0.2772081792354584,0.8928571343421936,,,,
,,249,,4,,,0.9350000023841858,,,
1.442986898059786e-05,1.442986898059786e-05,250,,,,,,,,
,,299,0.12576508522033691,5,,,,,,
,,299,,5,0.26862162351608276,0.8928571343421936,,,,
,,299,,5,,,0.9350000023841858,,,
1.442986898059786e-05,1.442986898059786e-05,300,,,,,,,,
,,349,0.08020024001598358,6,,,,,,
,,349,,6,0.2830510139465332,0.8928571343421936,,,,
,,349,,6,,,0.9350000023841858,,,
1.442986898059786e-05,1.442986898059786e-05,350,,,,,,,,
,,399,0.07832708209753036,7,,,,,,
,,399,,7,0.27274516224861145,0.875,,,,
,,399,,7,,,0.9399999976158142,,,
1.4429868980597862e-06,1.4429868980597862e-06,400,,,,,,,,
,,449,0.03219364583492279,8,,,,,,
,,449,,8,0.2667618691921234,0.8928571343421936,,,,
,,449,,8,,,0.9350000023841858,,,
1.4429868980597862e-06,1.4429868980597862e-06,450,,,,,,,,
,,499,0.6562888026237488,9,,,,,,
,,499,,9,0.26777511835098267,0.8928571343421936,,,,
,,499,,9,,,0.9325000047683716,,,
1.4429868980597862e-06,1.4429868980597862e-06,500,,,,,,,,
,,549,0.06509112566709518,10,,,,,,
,,549,,10,0.2596602141857147,0.8928571343421936,,,,
,,549,,10,,,0.9300000071525574,,,
1.4429868980597862e-06,1.4429868980597862e-06,550,,,,,,,,
,,599,0.09370540827512741,11,,,,,,
,,599,,11,0.2581496238708496,0.8928571343421936,,,,
,,599,,11,,,0.9424999952316284,,,
1.4429868980597863e-07,1.4429868980597863e-07,600,,,,,,,,
,,649,0.08146058022975922,12,,,,,,
,,649,,12,0.25713005661964417,0.8928571343421936,,,,
,,649,,12,,,0.9350000023841858,,,
1.4429868980597863e-07,1.4429868980597863e-07,650,,,,,,,,
,,699,0.02994396910071373,13,,,,,,
,,699,,13,0.2633313834667206,0.8928571343421936,,,,
,,699,,13,,,0.925000011920929,,,
1.4429868980597863e-07,1.4429868980597863e-07,700,,,,,,,,
,,749,0.40261462330818176,14,,,,,,
,,749,,14,0.26327016949653625,0.8928571343421936,,,,
,,749,,14,,,0.9424999952316284,,,
1.4429868980597863e-07,1.4429868980597863e-07,750,,,,,,,,
,,799,0.15264791250228882,15,,,,,,
,,799,,15,0.26502034068107605,0.8928571343421936,,,,
,,799,,15,,,0.9449999928474426,,,
1.4429868980597864e-08,1.4429868980597864e-08,800,,,,,,,,
,,849,0.16500137746334076,16,,,,,,
,,849,,16,0.2582111060619354,0.8928571343421936,,,,
,,849,,16,,,0.9375,,,
,,850,,17,,,,0.3391413986682892,0.9073333144187927,0.38329362869262695
