lr-Adam/pg1,lr-Adam/pg2,step,train/loss,epoch,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1
1.442986898059786e-05,1.442986898059786e-05,752,,,,,,,,,,,,,
,,799,0.2712734043598175,4,,,,,,,,,,,
,,849,0.581470787525177,4,,,,,,,,,,,
,,899,0.707953155040741,4,,,,,,,,,,,
,,939,,4,0.17522022128105164,0.9290927052497864,nan,0.9459999799728394,0.4801357686519623,0.4922361969947815,,,,,
,,939,,4,,,,,,,0.8746435046195984,nan,0.8920000195503235,0.4803151488304138,0.5003294944763184
1.442986898059786e-05,1.442986898059786e-05,940,,,,,,,,,,,,,
,,949,0.3421897888183594,5,,,,,,,,,,,
,,999,0.7914278507232666,5,,,,,,,,,,,
,,1049,0.055465951561927795,5,,,,,,,,,,,
,,1099,0.2618928849697113,5,,,,,,,,,,,
,,1127,,5,0.17320215702056885,0.9161802530288696,nan,0.9480000138282776,0.48126572370529175,0.49314752221107483,,,,,
,,1127,,5,,,,,,,0.8997711539268494,nan,0.8960000276565552,0.4998137950897217,0.5249152183532715
1.442986898059786e-05,1.442986898059786e-05,1128,,,,,,,,,,,,,
,,1149,0.8845111131668091,6,,,,,,,,,,,
,,1199,0.06269313395023346,6,,,,,,,,,,,
,,1249,0.6970779895782471,6,,,,,,,,,,,
,,1299,0.04367384314537048,6,,,,,,,,,,,
,,1315,,6,0.16506695747375488,0.9383123517036438,nan,0.9440000057220459,0.4691644310951233,0.4851623475551605,,,,,
,,1315,,6,,,,,,,0.9138883948326111,nan,0.903333306312561,0.5348297357559204,0.5645639896392822
1.442986898059786e-05,1.442986898059786e-05,1316,,,,,,,,,,,,,
,,1349,0.23372754454612732,7,,,,,,,,,,,
,,1399,0.7059732675552368,7,,,,,,,,,,,
,,1449,0.1324855089187622,7,,,,,,,,,,,
,,1499,0.5988767147064209,7,,,,,,,,,,,
,,1503,,7,0.17923733592033386,0.8733019828796387,nan,0.9459999799728394,0.48953214287757874,0.49817848205566406,,,,,
,,1503,,7,,,,,,,0.9267641305923462,nan,0.8993333578109741,0.5105336904525757,0.539413571357727
1.4429868980597862e-06,1.4429868980597862e-06,1504,,,,,,,,,,,,,
,,1549,0.267598956823349,8,,,,,,,,,,,
,,1599,0.11322791129350662,8,,,,,,,,,,,
,,1649,0.7355920672416687,8,,,,,,,,,,,
,,1691,,8,0.1732383817434311,0.8830028772354126,nan,0.949999988079071,0.49179205298423767,0.5029517412185669,,,,,
,,1691,,8,,,,,,,0.9109492301940918,nan,0.903333306312561,0.5334359407424927,0.5598745942115784
1.4429868980597862e-06,1.4429868980597862e-06,1692,,,,,,,,,,,,,
,,1699,0.15398621559143066,9,,,,,,,,,,,
,,1749,0.04719671234488487,9,,,,,,,,,,,
,,1799,0.04588627070188522,9,,,,,,,,,,,
,,1849,0.21694022417068481,9,,,,,,,,,,,
,,1879,,9,0.16422638297080994,0.9242472648620605,nan,0.9480000138282776,0.4808207154273987,0.4934215545654297,,,,,
,,1879,,9,,,,,,,0.9287405014038086,nan,0.9100000262260437,0.5509563684463501,0.5853538513183594
1.4429868980597862e-06,1.4429868980597862e-06,1880,,,,,,,,,,,,,
,,1899,0.08220584690570831,10,,,,,,,,,,,
,,1949,0.2336401492357254,10,,,,,,,,,,,
,,1999,0.45135223865509033,10,,,,,,,,,,,
,,2049,0.29699161648750305,10,,,,,,,,,,,
,,2067,,10,0.16549654304981232,0.9090763330459595,nan,0.949999988079071,0.4913470149040222,0.5032258033752441,,,,,
,,2067,,10,,,,,,,0.9366397261619568,nan,0.9013333320617676,0.5286687612533569,0.5581032037734985
1.4429868980597862e-06,1.4429868980597862e-06,2068,,,,,,,,,,,,,
,,2099,0.09596504271030426,11,,,,,,,,,,,
,,2149,0.12695452570915222,11,,,,,,,,,,,
,,2199,0.06338696926832199,11,,,,,,,,,,,
,,2249,0.15881673991680145,11,,,,,,,,,,,
,,2255,,11,0.16119305789470673,0.9436016082763672,nan,0.9440000057220459,0.4880344867706299,0.5095902681350708,,,,,
,,2255,,11,,,,,,,0.9088228344917297,nan,0.9053333401679993,0.5458226799964905,0.5767247080802917
1.4429868980597863e-07,1.4429868980597863e-07,2256,,,,,,,,,,,,,
,,2299,0.33527863025665283,12,,,,,,,,,,,
,,2349,0.38939133286476135,12,,,,,,,,,,,
,,2399,0.2916926443576813,12,,,,,,,,,,,
,,2443,,12,0.16309545934200287,0.9192806482315063,nan,0.949999988079071,0.4913470149040222,0.5032258033752441,,,,,
,,2443,,12,,,,,,,0.9350468516349792,nan,0.9046666622161865,0.5380681753158569,0.5660346150398254
1.4429868980597863e-07,1.4429868980597863e-07,2444,,,,,,,,,,,,,
,,2449,0.1088072657585144,13,,,,,,,,,,,
,,2499,0.29795733094215393,13,,,,,,,,,,,
,,2549,0.5418341159820557,13,,,,,,,,,,,
,,2599,0.2979241907596588,13,,,,,,,,,,,
,,2631,,13,0.16417928040027618,0.9148752093315125,nan,0.949999988079071,0.4913470149040222,0.5032258033752441,,,,,
,,2631,,13,,,,,,,0.9316477179527283,nan,0.906000018119812,0.544459879398346,0.5747638940811157
1.4429868980597863e-07,1.4429868980597863e-07,2632,,,,,,,,,,,,,
,,2649,0.15870510041713715,14,,,,,,,,,,,
,,2699,0.037749484181404114,14,,,,,,,,,,,
,,2749,0.08839685469865799,14,,,,,,,,,,,
,,2799,0.1218167096376419,14,,,,,,,,,,,
,,2819,,14,0.16792242228984833,0.8988760113716125,nan,0.9480000138282776,0.4906620979309082,0.5023811459541321,,,,,
,,2819,,14,,,,,,,0.9260210394859314,nan,0.9120000004768372,0.5577025413513184,0.594239354133606
1.4429868980597863e-07,1.4429868980597863e-07,2820,,,,,,,,,,,,,
,,2849,0.3124731779098511,15,,,,,,,,,,,
,,2899,0.0635080635547638,15,,,,,,,,,,,
,,2949,0.3500819206237793,15,,,,,,,,,,,
,,2999,0.40633225440979004,15,,,,,,,,,,,
,,3007,,15,0.1691644787788391,0.8950319290161133,nan,0.9480000138282776,0.4906620979309082,0.5023811459541321,,,,,
,,3007,,15,,,,,,,0.9057227969169617,nan,0.906000018119812,0.5232529640197754,0.5546712875366211
1.4429868980597864e-08,1.4429868980597864e-08,3008,,,,,,,,,,,,,
,,3049,0.05795518681406975,16,,,,,,,,,,,
