lr-Adam/pg1,lr-Adam/pg2,step,train/loss,epoch,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,
,,49,0.6086330413818359,0,,,,,,,,,,,
,,99,0.9255658388137817,0,,,,,,,,,,,
,,149,0.6578892469406128,0,,,,,,,,,,,
,,187,,0,0.2093839943408966,0.9477998614311218,nan,0.9359999895095825,0.398870050907135,0.38375476002693176,,,,,
,,187,,0,,,,,,,0.7891572117805481,0.41487497091293335,0.8193333148956299,0.38019952178001404,0.3611873388290405
0.0001442986898059786,0.0001442986898059786,188,,,,,,,,,,,,,
,,199,0.21048882603645325,1,,,,,,,,,,,
,,249,0.49311351776123047,1,,,,,,,,,,,
,,299,0.9897779226303101,1,,,,,,,,,,,
,,349,0.2619436979293823,1,,,,,,,,,,,
,,375,,1,0.28575921058654785,0.9232883453369141,nan,0.9359999895095825,0.45524826645851135,0.4679649770259857,,,,,
,,375,,1,,,,,,,0.8002656102180481,nan,0.8640000224113464,0.4176291525363922,0.41176000237464905
0.0001442986898059786,0.0001442986898059786,376,,,,,,,,,,,,,
,,399,0.17970463633537292,2,,,,,,,,,,,
,,449,0.10527992993593216,2,,,,,,,,,,,
,,499,0.14413833618164062,2,,,,,,,,,,,
,,549,0.0682373121380806,2,,,,,,,,,,,
,,563,,2,0.20127372443675995,0.8609506487846375,nan,0.9459999799728394,0.4801357686519623,0.49541544914245605,,,,,
,,563,,2,,,,,,,0.8755645751953125,nan,0.8706666827201843,0.4533842206001282,0.4646494388580322
0.0001442986898059786,0.0001442986898059786,564,,,,,,,,,,,,,
,,599,0.15972617268562317,3,,,,,,,,,,,
,,649,0.10074670612812042,3,,,,,,,,,,,
,,699,0.37135618925094604,3,,,,,,,,,,,
,,749,0.4130104184150696,3,,,,,,,,,,,
,,751,,3,0.18699218332767487,0.953495442867279,nan,0.9440000057220459,0.4790058135986328,0.4914860129356384,,,,,
,,751,,3,,,,,,,0.8610502481460571,nan,0.8880000114440918,0.4848071038722992,0.5067533254623413
