lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,train/loss,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,9,1.510378122329712,0.4000000059604645,0,,,,,
,,9,,,0,0.5333333611488342,,,,
0.0001442986898059786,0.0001442986898059786,10,,,,,,,,
,,19,1.401607632637024,0.4000000059604645,1,,,,,
,,19,,,1,0.7733333110809326,,,,
0.0001442986898059786,0.0001442986898059786,20,,,,,,,,
,,29,1.0460810661315918,0.699999988079071,2,,,,,
,,29,,,2,0.800000011920929,,,,
0.0001442986898059786,0.0001442986898059786,30,,,,,,,,
,,39,0.9695016741752625,0.699999988079071,3,,,,,
,,39,,,3,0.8533333539962769,,,,
1.442986898059786e-05,1.442986898059786e-05,40,,,,,,,,
,,49,,,4,,0.8395116329193115,,,
,,49,0.8105688691139221,0.7599999904632568,4,,,,,
,,49,,,4,0.8666666746139526,,,,
1.442986898059786e-05,1.442986898059786e-05,50,,,,,,,,
,,59,0.729378879070282,0.7799999713897705,5,,,,,
,,59,,,5,0.8666666746139526,,,,
1.442986898059786e-05,1.442986898059786e-05,60,,,,,,,,
,,69,0.7308993339538574,0.7799999713897705,6,,,,,
,,69,,,6,0.8799999952316284,,,,
1.442986898059786e-05,1.442986898059786e-05,70,,,,,,,,
,,79,0.6984290480613708,0.7799999713897705,7,,,,,
,,79,,,7,0.8799999952316284,,,,
1.4429868980597862e-06,1.4429868980597862e-06,80,,,,,,,,
,,89,0.6903913617134094,0.7799999713897705,8,,,,,
,,89,,,8,0.8533333539962769,,,,
1.4429868980597862e-06,1.4429868980597862e-06,90,,,,,,,,
,,99,,,9,,0.1334131509065628,,,
,,99,0.6902754902839661,0.7799999713897705,9,,,,,
,,99,,,9,0.8666666746139526,,,,
1.4429868980597862e-06,1.4429868980597862e-06,100,,,,,,,,
,,109,0.6956434845924377,0.7799999713897705,10,,,,,
,,109,,,10,0.8799999952316284,,,,
1.4429868980597862e-06,1.4429868980597862e-06,110,,,,,,,,
,,119,0.6939316391944885,0.7799999713897705,11,,,,,
,,119,,,11,0.8266666531562805,,,,
1.4429868980597863e-07,1.4429868980597863e-07,120,,,,,,,,
,,129,0.6859458684921265,0.7799999713897705,12,,,,,
,,129,,,12,0.8666666746139526,,,,
1.4429868980597863e-07,1.4429868980597863e-07,130,,,,,,,,
,,139,0.7011869549751282,0.7799999713897705,13,,,,,
,,139,,,13,0.8799999952316284,,,,
1.4429868980597863e-07,1.4429868980597863e-07,140,,,,,,,,
,,149,,,14,,0.9379167556762695,,,
,,149,0.6822907328605652,0.7799999713897705,14,,,,,
,,149,,,14,0.8799999952316284,,,,
1.4429868980597863e-07,1.4429868980597863e-07,150,,,,,,,,
,,159,0.6934518218040466,0.7799999713897705,15,,,,,
,,159,,,15,0.8799999952316284,,,,
1.4429868980597864e-08,1.4429868980597864e-08,160,,,,,,,,
,,169,0.7082656025886536,0.7799999713897705,16,,,,,
,,169,,,16,0.8666666746139526,,,,
,,170,,,17,,,0.35424724221229553,0.9273333549499512,0.39565712213516235
