val/loss,val/acc,epoch,step,train/acc,lr-SGD/pg1,lr-SGD/pg2,train/loss,test/loss,test/acc
2.3720462322235107,0.08799999952316284,0,5,,,,,,
,,0,5,0.059454545378685,,,,,
2.2577333450317383,0.164000004529953,1,11,,,,,,
,,1,11,0.1483636349439621,,,,,
2.3799571990966797,0.1720000058412552,2,17,,,,,,
,,2,17,0.17909090220928192,,,,,
2.6081295013427734,0.17599999904632568,3,23,,,,,,
,,3,23,0.23072727024555206,,,,,
4.075232028961182,0.15199999511241913,4,29,,,,,,
,,4,29,0.28727272152900696,,,,,
5.024590015411377,0.15199999511241913,5,35,,,,,,
,,5,35,0.2812727391719818,,,,,
39.673770904541016,0.10000000149011612,6,41,,,,,,
,,6,41,0.23818181455135345,,,,,
6.248051643371582,0.18400000035762787,7,47,,,,,,
,,7,47,0.2765454649925232,,,,,
,,,49,,0.08166666666666667,0.08166666666666667,,,
,,8,49,,,,1.7115296125411987,,
3.7628183364868164,0.21199999749660492,8,53,,,,,,
,,8,53,0.37545454502105713,,,,,
3.4978103637695312,0.25600001215934753,9,59,,,,,,
,,9,59,0.3625454604625702,,,,,
3.5000154972076416,0.2199999988079071,10,65,,,,,,
,,10,65,0.40400001406669617,,,,,
3.2167813777923584,0.17599999904632568,11,71,,,,,,
,,11,71,0.4267272651195526,,,,,
4.028520584106445,0.23600000143051147,12,77,,,,,,
,,12,77,0.4516363739967346,,,,,
4.164726257324219,0.23999999463558197,13,83,,,,,,
,,13,83,0.47254544496536255,,,,,
3.155393362045288,0.23199999332427979,14,89,,,,,,
,,14,89,0.479272723197937,,,,,
3.6329898834228516,0.24400000274181366,15,95,,,,,,
,,15,95,0.4976363778114319,,,,,
,,,99,,0.09971150308006689,0.09971150308006689,,,
,,16,99,,,,1.0958950519561768,,
4.033101558685303,0.19599999487400055,16,101,,,,,,
,,16,101,0.5550909042358398,,,,,
3.4000251293182373,0.24799999594688416,17,107,,,,,,
,,17,107,0.5434545278549194,,,,,
2.8563520908355713,0.23199999332427979,18,113,,,,,,
,,18,113,0.5634545683860779,,,,,
5.459333896636963,0.1720000058412552,19,119,,,,,,
,,19,119,0.5849090814590454,,,,,
3.3994758129119873,0.23600000143051147,20,125,,,,,,
,,20,125,0.5354545712471008,,,,,
3.8990979194641113,0.2280000001192093,21,131,,,,,,
,,21,131,0.6218181848526001,,,,,
4.033539295196533,0.30799999833106995,22,137,,,,,,
,,22,137,0.5821818113327026,,,,,
3.9131031036376953,0.20399999618530273,23,143,,,,,,
,,23,143,0.6485454440116882,,,,,
,,,149,,0.09850365444235881,0.09850365444235881,,,
,,24,149,,,,0.8894023299217224,,
3.248652935028076,0.25600001215934753,24,149,,,,,,
,,24,149,0.6600000262260437,,,,,
3.639808177947998,0.1720000058412552,25,155,,,,,,
,,25,155,0.6656363606452942,,,,,
4.230861663818359,0.2280000001192093,26,161,,,,,,
,,26,161,0.6912727355957031,,,,,
4.28745698928833,0.20800000429153442,27,167,,,,,,
,,27,167,0.7054545283317566,,,,,
5.016068935394287,0.18400000035762787,28,173,,,,,,
,,28,173,0.7165454626083374,,,,,
3.8146681785583496,0.25200000405311584,29,179,,,,,,
,,29,179,0.6380000114440918,,,,,
4.408642768859863,0.23600000143051147,30,185,,,,,,
,,30,185,0.696363627910614,,,,,
5.155338764190674,0.21199999749660492,31,191,,,,,,
,,31,191,0.6618182063102722,,,,,
4.739208698272705,0.18799999356269836,32,197,,,,,,
,,32,197,0.7194545269012451,,,,,
,,,199,,0.09637637874149779,0.09637637874149779,,,
,,33,199,,,,0.7859874367713928,,
7.297391891479492,0.2240000069141388,33,203,,,,,,
,,33,203,0.7289090752601624,,,,,
4.498864650726318,0.25600001215934753,34,209,,,,,,
,,34,209,0.7405454516410828,,,,,
3.889216661453247,0.2800000011920929,35,215,,,,,,
,,35,215,0.7358182072639465,,,,,
4.714491367340088,0.23600000143051147,36,221,,,,,,
,,36,221,0.758363664150238,,,,,
5.342993259429932,0.23199999332427979,37,227,,,,,,
,,37,227,0.7718181610107422,,,,,
5.319446086883545,0.2720000147819519,38,233,,,,,,
,,38,233,0.7830908894538879,,,,,
5.831152439117432,0.23600000143051147,39,239,,,,,,
,,39,239,0.7454545497894287,,,,,
5.123881816864014,0.25999999046325684,40,245,,,,,,
,,40,245,0.7589091062545776,,,,,
,,,249,,0.09337000025557476,0.09337000025557476,,,
,,41,249,,,,0.5163321495056152,,
5.327541828155518,0.23600000143051147,41,251,,,,,,
,,41,251,0.7709090709686279,,,,,
6.565973281860352,0.2639999985694885,42,257,,,,,,
,,42,257,0.7839999794960022,,,,,
5.079209327697754,0.25200000405311584,43,263,,,,,,
,,43,263,0.7154545187950134,,,,,
3.7083537578582764,0.23199999332427979,44,269,,,,,,
,,44,269,0.7774545550346375,,,,,
4.991138458251953,0.19599999487400055,45,275,,,,,,
,,45,275,0.8143636584281921,,,,,
4.504301071166992,0.30000001192092896,46,281,,,,,,
,,46,281,0.7738181948661804,,,,,
4.799994468688965,0.2680000066757202,47,287,,,,,,
,,47,287,0.7960000038146973,,,,,
5.8055524826049805,0.2759999930858612,48,293,,,,,,
,,48,293,0.7961817979812622,,,,,
,,,299,,0.08954150738626414,0.08954150738626414,,,
,,49,299,,,,0.2755638360977173,,
5.3172502517700195,0.2720000147819519,49,299,,,,,,
,,49,299,0.8334545493125916,,,,,
5.674712657928467,0.25200000405311584,50,305,,,,,,
,,50,305,0.7972727417945862,,,,,
5.040367126464844,0.2800000011920929,51,311,,,,,,
,,51,311,0.8205454349517822,,,,,
4.776565074920654,0.30399999022483826,52,317,,,,,,
,,52,317,0.8089091181755066,,,,,
5.370463848114014,0.3199999928474426,53,323,,,,,,
,,53,323,0.8034545183181763,,,,,
5.127511501312256,0.23600000143051147,54,329,,,,,,
,,54,329,0.828181803226471,,,,,
4.2430315017700195,0.2919999957084656,55,335,,,,,,
,,55,335,0.7934545278549194,,,,,
4.277696132659912,0.2759999930858612,56,341,,,,,,
,,56,341,0.847636342048645,,,,,
3.9742510318756104,0.3160000145435333,57,347,,,,,,
,,57,347,0.843999981880188,,,,,
,,,349,,0.0849634723963284,0.0849634723963284,,,
,,58,349,,,,0.42624029517173767,,
4.614485740661621,0.25600001215934753,58,353,,,,,,
,,58,353,0.8381817936897278,,,,,
4.51470422744751,0.2720000147819519,59,359,,,,,,
,,59,359,0.8143636584281921,,,,,
6.566238880157471,0.2720000147819519,60,365,,,,,,
,,60,365,0.831818163394928,,,,,
4.954950332641602,0.29600000381469727,61,371,,,,,,
