val/loss,val/acc,epoch,step,train/acc,lr-SGD/pg1,lr-SGD/pg2,train/loss,test/loss,test/acc
2.241147518157959,0.12880000472068787,0,5,,,,,,
,,0,5,0.20163635909557343,,,,,
2.3141770362854004,0.18479999899864197,1,11,,,,,,
,,1,11,0.08727272599935532,,,,,
2.762744188308716,0.1703999936580658,2,17,,,,,,
,,2,17,0.1270909160375595,,,,,
3.2059381008148193,0.18000000715255737,3,23,,,,,,
,,3,23,0.12672726809978485,,,,,
6.013027191162109,0.11599999666213989,4,29,,,,,,
,,4,29,0.16672727465629578,,,,,
6.724519729614258,0.13600000739097595,5,35,,,,,,
,,5,35,0.20745454728603363,,,,,
2.91554594039917,0.18000000715255737,6,41,,,,,,
,,6,41,0.1610909104347229,,,,,
4.533570289611816,0.18400000035762787,7,47,,,,,,
,,7,47,0.1823636293411255,,,,,
,,,49,,0.08166666666666667,0.08166666666666667,,,
,,8,49,,,,2.009382963180542,,
2.9096155166625977,0.24480000138282776,8,53,,,,,,
,,8,53,0.22363635897636414,,,,,
2.2395384311676025,0.24160000681877136,9,59,,,,,,
,,9,59,0.2534545361995697,,,,,
1.7988324165344238,0.25119999051094055,10,65,,,,,,
,,10,65,0.24036364257335663,,,,,
1.8990793228149414,0.31040000915527344,11,71,,,,,,
,,11,71,0.2505454421043396,,,,,
1.8465083837509155,0.30079999566078186,12,77,,,,,,
,,12,77,0.2616363763809204,,,,,
1.8652656078338623,0.2671999931335449,13,83,,,,,,
,,13,83,0.2349090874195099,,,,,
1.8132814168930054,0.2831999957561493,14,89,,,,,,
,,14,89,0.3160000145435333,,,,,
2.7489523887634277,0.20399999618530273,15,95,,,,,,
,,15,95,0.1934545487165451,,,,,
,,,99,,0.09971150308006689,0.09971150308006689,,,
,,16,99,,,,1.9363583326339722,,
1.8261957168579102,0.3352000117301941,16,101,,,,,,
,,16,101,0.2714545428752899,,,,,
1.9519569873809814,0.29760000109672546,17,107,,,,,,
,,17,107,0.25363636016845703,,,,,
1.984883189201355,0.3352000117301941,18,113,,,,,,
,,18,113,0.26818183064460754,,,,,
1.760053277015686,0.2847999930381775,19,119,,,,,,
,,19,119,0.30236363410949707,,,,,
2.078944444656372,0.266400009393692,20,125,,,,,,
,,20,125,0.2634545564651489,,,,,
1.8567386865615845,0.3303999900817871,21,131,,,,,,
,,21,131,0.27036362886428833,,,,,
2.218733072280884,0.3248000144958496,22,137,,,,,,
,,22,137,0.30218181014060974,,,,,
2.4655566215515137,0.2800000011920929,23,143,,,,,,
,,23,143,0.29181817173957825,,,,,
,,,149,,0.09850365444235881,0.09850365444235881,,,
,,24,149,,,,1.735213041305542,,
1.8309210538864136,0.328000009059906,24,149,,,,,,
,,24,149,0.3227272629737854,,,,,
1.6732234954833984,0.35760000348091125,25,155,,,,,,
,,25,155,0.2720000147819519,,,,,
1.9724888801574707,0.24959999322891235,26,161,,,,,,
,,26,161,0.3330909013748169,,,,,
1.8139435052871704,0.3479999899864197,27,167,,,,,,
,,27,167,0.31254544854164124,,,,,
1.8381576538085938,0.3368000090122223,28,173,,,,,,
