lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/acc,epoch,train/acc,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,
,,1,1.607580542564392,0.01785714365541935,0,,,,
,,1,,,0,0.0,,,
0.0001442986898059786,0.0001442986898059786,2,,,,,,,
,,3,1.6149438619613647,0.0535714291036129,1,,,,
,,3,,,1,0.10000000149011612,,,
0.0001442986898059786,0.0001442986898059786,4,,,,,,,
,,5,1.6145156621932983,0.0535714291036129,2,,,,
,,5,,,2,0.30000001192092896,,,
0.0001442986898059786,0.0001442986898059786,6,,,,,,,
,,7,1.603524088859558,0.0535714291036129,3,,,,
,,7,,,3,0.8999999761581421,,,
1.442986898059786e-05,1.442986898059786e-05,8,,,,,,,
,,9,1.5908762216567993,0.0535714291036129,4,,,,
,,9,,,4,0.6000000238418579,,,
1.442986898059786e-05,1.442986898059786e-05,10,,,,,,,
,,11,1.575492024421692,0.0535714291036129,5,,,,
,,11,,,5,0.800000011920929,,,
1.442986898059786e-05,1.442986898059786e-05,12,,,,,,,
,,13,1.5572925806045532,0.0535714291036129,6,,,,
,,13,,,6,0.8999999761581421,,,
1.442986898059786e-05,1.442986898059786e-05,14,,,,,,,
,,15,1.5370055437088013,0.0535714291036129,7,,,,
,,15,,,7,1.0,,,
1.4429868980597862e-06,1.4429868980597862e-06,16,,,,,,,
,,17,1.5145683288574219,0.0535714291036129,8,,,,
,,17,,,8,0.6000000238418579,,,
1.4429868980597862e-06,1.4429868980597862e-06,18,,,,,,,
,,19,1.490409016609192,0.0892857164144516,9,,,,
,,19,,,9,0.800000011920929,,,
1.4429868980597862e-06,1.4429868980597862e-06,20,,,,,,,
,,21,1.4625165462493896,0.2321428507566452,10,,,,
,,21,,,10,0.8999999761581421,,,
1.4429868980597862e-06,1.4429868980597862e-06,22,,,,,,,
,,23,1.4303258657455444,0.4821428656578064,11,,,,
,,23,,,11,0.8999999761581421,,,
1.4429868980597863e-07,1.4429868980597863e-07,24,,,,,,,
,,25,1.3963383436203003,0.7142857313156128,12,,,,
,,25,,,12,1.0,,,
1.4429868980597863e-07,1.4429868980597863e-07,26,,,,,,,
,,27,1.3592207431793213,0.7321428656578064,13,,,,
,,27,,,13,0.800000011920929,,,
1.4429868980597863e-07,1.4429868980597863e-07,28,,,,,,,
,,29,1.320142149925232,0.7857142686843872,14,,,,
,,29,,,14,0.6000000238418579,,,
1.4429868980597863e-07,1.4429868980597863e-07,30,,,,,,,
,,31,1.278566598892212,0.8214285969734192,15,,,,
,,31,,,15,0.8999999761581421,,,
1.4429868980597864e-08,1.4429868980597864e-08,32,,,,,,,
,,33,1.2385942935943604,0.8571428656578064,16,,,,
,,33,,,16,0.8999999761581421,,,
,,34,,,17,,1.2569392919540405,0.8084444403648376,0.4124939441680908
