lr-Adam/pg1,lr-Adam/pg2,step,train/loss,epoch,val/loss,val/acc,train/acc,test/loss,test/acc,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,
,,49,0.056451428681612015,0,,,,,,
,,49,,0,0.6904483437538147,0.7540983557701111,,,,
,,49,,0,,,0.8500000238418579,,,
0.0001442986898059786,0.0001442986898059786,50,,,,,,,,
,,99,0.3950110673904419,1,,,,,,
,,99,,1,0.8552566766738892,0.7540983557701111,,,,
,,99,,1,,,0.9225000143051147,,,
0.0001442986898059786,0.0001442986898059786,100,,,,,,,,
,,149,0.15132561326026917,2,,,,,,
,,149,,2,0.6193992495536804,0.8196721076965332,,,,
,,149,,2,,,0.9424999952316284,,,
0.0001442986898059786,0.0001442986898059786,150,,,,,,,,
,,199,0.08368823677301407,3,,,,,,
,,199,,3,0.7125267386436462,0.7704917788505554,,,,
,,199,,3,,,0.9399999976158142,,,
1.442986898059786e-05,1.442986898059786e-05,200,,,,,,,,
,,249,0.6182101964950562,4,,,,,,
,,249,,4,0.5885756611824036,0.8196721076965332,,,,
,,249,,4,,,0.9375,,,
1.442986898059786e-05,1.442986898059786e-05,250,,,,,,,,
,,299,0.038511574268341064,5,,,,,,
,,299,,5,0.544800877571106,0.8196721076965332,,,,
,,299,,5,,,0.9474999904632568,,,
1.442986898059786e-05,1.442986898059786e-05,300,,,,,,,,
,,349,0.2277795970439911,6,,,,,,
,,349,,6,0.5664448142051697,0.8196721076965332,,,,
,,349,,6,,,0.949999988079071,,,
1.442986898059786e-05,1.442986898059786e-05,350,,,,,,,,
,,399,0.01848725788295269,7,,,,,,
,,399,,7,0.5362284183502197,0.8360655903816223,,,,
,,399,,7,,,0.9375,,,
1.4429868980597862e-06,1.4429868980597862e-06,400,,,,,,,,
,,449,0.09063300490379333,8,,,,,,
,,449,,8,0.5486366748809814,0.8360655903816223,,,,
,,449,,8,,,0.949999988079071,,,
1.4429868980597862e-06,1.4429868980597862e-06,450,,,,,,,,
,,499,0.6090628504753113,9,,,,,,
,,499,,9,0.5807222723960876,0.8196721076965332,,,,
,,499,,9,,,0.9524999856948853,,,
1.4429868980597862e-06,1.4429868980597862e-06,500,,,,,,,,
,,549,0.028424886986613274,10,,,,,,
,,549,,10,0.5514174699783325,0.8196721076965332,,,,
,,549,,10,,,0.9524999856948853,,,
1.4429868980597862e-06,1.4429868980597862e-06,550,,,,,,,,
,,599,0.056300509721040726,11,,,,,,
,,599,,11,0.5491551160812378,0.8196721076965332,,,,
,,599,,11,,,0.9474999904632568,,,
1.4429868980597863e-07,1.4429868980597863e-07,600,,,,,,,,
,,649,0.10162932425737381,12,,,,,,
,,649,,12,0.5602961182594299,0.8196721076965332,,,,
,,649,,12,,,0.9524999856948853,,,
1.4429868980597863e-07,1.4429868980597863e-07,650,,,,,,,,
,,699,0.09397396445274353,13,,,,,,
,,699,,13,0.5462046265602112,0.8360655903816223,,,,
,,699,,13,,,0.9474999904632568,,,
1.4429868980597863e-07,1.4429868980597863e-07,700,,,,,,,,
,,749,1.108107089996338,14,,,,,,
,,749,,14,0.5508566498756409,0.8196721076965332,,,,
,,749,,14,,,0.949999988079071,,,
1.4429868980597863e-07,1.4429868980597863e-07,750,,,,,,,,
,,799,0.23607471585273743,15,,,,,,
,,799,,15,0.5593368411064148,0.8196721076965332,,,,
,,799,,15,,,0.9474999904632568,,,
1.4429868980597864e-08,1.4429868980597864e-08,800,,,,,,,,
,,849,0.08469225466251373,16,,,,,,
,,849,,16,0.544893741607666,0.8196721076965332,,,,
,,849,,16,,,0.9549999833106995,,,
,,850,,17,,,,0.24273519217967987,0.9326666593551636,0.42420288920402527
