iteration,train_time_s,query_time_s,eig_time_s
0,27.8389,99.789,84.1816
1,30.8779,154.439,138.5473
2,33.0079,213.3023,196.7733
3,33.0703,266.396,250.102
4,33.8128,321.6295,305.0304
5,34.664,407.012,390.4004
6,35.1297,465.7989,449.0846
7,36.5792,526.2795,509.4201
8,37.7157,587.8888,571.2744
9,38.3788,659.5923,642.6636
