val/loss,val/acc,epoch,step,train/acc,lr-SGD/pg1,lr-SGD/pg2,train/loss,test/loss,test/acc
2.3111815452575684,0.1143999993801117,0,5,,,,,,
,,0,5,0.10527272522449493,,,,,
2.3029754161834717,0.14000000059604645,1,11,,,,,,
,,1,11,0.10236363857984543,,,,,
2.2808585166931152,0.1599999964237213,2,17,,,,,,
,,2,17,0.11672727018594742,,,,,
2.5934667587280273,0.1599999964237213,3,23,,,,,,
,,3,23,0.1212727278470993,,,,,
5.7830610275268555,0.13199999928474426,4,29,,,,,,
,,4,29,0.1327272653579712,,,,,
3.208585262298584,0.10639999806880951,5,35,,,,,,
,,5,35,0.13654544949531555,,,,,
3.2031168937683105,0.1720000058412552,6,41,,,,,,
,,6,41,0.1327272653579712,,,,,
2.250417470932007,0.2160000056028366,7,47,,,,,,
,,7,47,0.14800000190734863,,,,,
,,,49,,0.08166666666666667,0.08166666666666667,,,
,,8,49,,,,2.2557475566864014,,
2.0958430767059326,0.2632000148296356,8,53,,,,,,
,,8,53,0.14981818199157715,,,,,
2.014632225036621,0.23600000143051147,9,59,,,,,,
,,9,59,0.16072727739810944,,,,,
1.9069277048110962,0.2720000147819519,10,65,,,,,,
,,10,65,0.15672726929187775,,,,,
1.8396259546279907,0.29280000925064087,11,71,,,,,,
,,11,71,0.17236363887786865,,,,,
1.8810343742370605,0.29600000381469727,12,77,,,,,,
,,12,77,0.17236363887786865,,,,,
1.7826181650161743,0.3271999955177307,13,83,,,,,,
,,13,83,0.2194545418024063,,,,,
1.845872402191162,0.323199987411499,14,89,,,,,,
,,14,89,0.18563635647296906,,,,,
1.9691427946090698,0.29919999837875366,15,95,,,,,,
,,15,95,0.21909090876579285,,,,,
,,,99,,0.09971150308006689,0.09971150308006689,,,
,,16,99,,,,1.9620963335037231,,
2.638810634613037,0.2272000014781952,16,101,,,,,,
,,16,101,0.211272731423378,,,,,
2.1488423347473145,0.19359999895095825,17,107,,,,,,
,,17,107,0.2038181871175766,,,,,
1.9870452880859375,0.328000009059906,18,113,,,,,,
,,18,113,0.20163635909557343,,,,,
1.8455687761306763,0.30480000376701355,19,119,,,,,,
,,19,119,0.20854546129703522,,,,,
1.7630914449691772,0.31439998745918274,20,125,,,,,,
,,20,125,0.2338181883096695,,,,,
1.851536512374878,0.29760000109672546,21,131,,,,,,
,,21,131,0.2072727233171463,,,,,
2.092938184738159,0.2791999876499176,22,137,,,,,,
,,22,137,0.2152727246284485,,,,,
1.8841712474822998,0.29679998755455017,23,143,,,,,,
,,23,143,0.24690909683704376,,,,,
,,,149,,0.09850365444235881,0.09850365444235881,,,
,,24,149,,,,1.973885178565979,,
2.244572162628174,0.2295999974012375,24,149,,,,,,
,,24,149,0.22327272593975067,,,,,
1.8636853694915771,0.2791999876499176,25,155,,,,,,
,,25,155,0.23781818151474,,,,,
1.6774994134902954,0.37599998712539673,26,161,,,,,,
,,26,161,0.22327272593975067,,,,,
1.5930954217910767,0.37439998984336853,27,167,,,,,,
,,27,167,0.24872727692127228,,,,,
2.004185676574707,0.2768000066280365,28,173,,,,,,
,,28,173,0.2725454568862915,,,,,
2.1746065616607666,0.25600001215934753,29,179,,,,,,
,,29,179,0.24436363577842712,,,,,
1.7088720798492432,0.36800000071525574,30,185,,,,,,
,,30,185,0.2614545524120331,,,,,
1.840314507484436,0.3400000035762787,31,191,,,,,,
,,31,191,0.278727263212204,,,,,
2.0318825244903564,0.2639999985694885,32,197,,,,,,
,,32,197,0.26236364245414734,,,,,
,,,199,,0.09637637874149779,0.09637637874149779,,,
,,33,199,,,,1.8795002698898315,,
1.7051599025726318,0.3271999955177307,33,203,,,,,,
,,33,203,0.25727272033691406,,,,,
1.6853504180908203,0.3815999925136566,34,209,,,,,,
,,34,209,0.2643636465072632,,,,,
3.3758976459503174,0.2287999987602234,35,215,,,,,,
,,35,215,0.2765454649925232,,,,,
2.172948122024536,0.25279998779296875,36,221,,,,,,
,,36,221,0.2614545524120331,,,,,
1.6221657991409302,0.41600000858306885,37,227,,,,,,
,,37,227,0.2770909070968628,,,,,
1.8467555046081543,0.36079999804496765,38,233,,,,,,
,,38,233,0.27690908312797546,,,,,
1.740006685256958,0.36399999260902405,39,239,,,,,,
,,39,239,0.2758181691169739,,,,,
1.5856086015701294,0.41200000047683716,40,245,,,,,,
,,40,245,0.2969090938568115,,,,,
,,,249,,0.09337000025557476,0.09337000025557476,,,
,,41,249,,,,1.7805503606796265,,
3.0793402194976807,0.25839999318122864,41,251,,,,,,
,,41,251,0.29636362195014954,,,,,
1.6299959421157837,0.4023999869823456,42,257,,,,,,
,,42,257,0.282363623380661,,,,,
1.785788655281067,0.3736000061035156,43,263,,,,,,
,,43,263,0.3130909204483032,,,,,
2.011915922164917,0.3400000035762787,44,269,,,,,,
,,44,269,0.3047272861003876,,,,,
1.8308335542678833,0.3720000088214874,45,275,,,,,,
,,45,275,0.31090909242630005,,,,,
1.6406776905059814,0.4320000112056732,46,281,,,,,,
,,46,281,0.32527273893356323,,,,,
2.0774550437927246,0.31679999828338623,47,287,,,,,,
,,47,287,0.31036365032196045,,,,,
2.2151594161987305,0.2896000146865845,48,293,,,,,,
,,48,293,0.33000001311302185,,,,,
,,,299,,0.08954150738626414,0.08954150738626414,,,
,,49,299,,,,1.7906981706619263,,
1.891159176826477,0.3864000141620636,49,299,,,,,,
,,49,299,0.31727272272109985,,,,,
2.0154309272766113,0.3368000090122223,50,305,,,,,,
,,50,305,0.3301818072795868,,,,,
1.5760265588760376,0.46160000562667847,51,311,,,,,,
,,51,311,0.3165454566478729,,,,,
1.947407841682434,0.35760000348091125,52,317,,,,,,
,,52,317,0.3572727143764496,,,,,
1.7175862789154053,0.41440001130104065,53,323,,,,,,
,,53,323,0.3529090881347656,,,,,
1.3673241138458252,0.487199991941452,54,329,,,,,,
,,54,329,0.3418181836605072,,,,,
1.862408995628357,0.42080000042915344,55,335,,,,,,
,,55,335,0.37381818890571594,,,,,
2.62552809715271,0.4047999978065491,56,341,,,,,,
,,56,341,0.35836362838745117,,,,,
1.6358076333999634,0.46320000290870667,57,347,,,,,,
,,57,347,0.3661818206310272,,,,,
,,,349,,0.0849634723963284,0.0849634723963284,,,
,,58,349,,,,1.6095861196517944,,
2.25247859954834,0.3176000118255615,58,353,,,,,,
,,58,353,0.3763636350631714,,,,,
1.3938015699386597,0.5199999809265137,59,359,,,,,,
,,59,359,0.3678181767463684,,,,,
1.6625707149505615,0.4528000056743622,60,365,,,,,,
,,60,365,0.4036363661289215,,,,,
1.490967869758606,0.47999998927116394,61,371,,,,,,
,,61,371,0.41600000858306885,,,,,
1.798640251159668,0.4032000005245209,62,377,,,,,,
,,62,377,0.4007272720336914,,,,,
1.84116792678833,0.438400000333786,63,383,,,,,,
,,63,383,0.39454546570777893,,,,,
1.9548434019088745,0.36800000071525574,64,389,,,,,,
,,64,389,0.4041818082332611,,,,,
1.6880124807357788,0.47360000014305115,65,395,,,,,,
,,65,395,0.4392727315425873,,,,,
,,,399,,0.07972267574208991,0.07972267574208991,,,
,,66,399,,,,1.536849856376648,,
1.6278467178344727,0.4975999891757965,66,401,,,,,,
,,66,401,0.4196363687515259,,,,,
1.8947046995162964,0.4375999867916107,67,407,,,,,,
,,67,407,0.4530909061431885,,,,,
1.8012616634368896,0.45680001378059387,68,413,,,,,,
,,68,413,0.42345455288887024,,,,,
1.957990050315857,0.48559999465942383,69,419,,,,,,
,,69,419,0.43036362528800964,,,,,
1.781592607498169,0.4607999920845032,70,425,,,,,,
,,70,425,0.4434545338153839,,,,,
1.6297436952590942,0.46799999475479126,71,431,,,,,,
,,71,431,0.46272727847099304,,,,,
2.883338212966919,0.25440001487731934,72,437,,,,,,
,,72,437,0.4687272608280182,,,,,
2.7004122734069824,0.4440000057220459,73,443,,,,,,
,,73,443,0.3989090919494629,,,,,
,,,449,,0.07391846107779047,0.07391846107779047,,,
,,74,449,,,,1.3957034349441528,,
3.426532506942749,0.23999999463558197,74,449,,,,,,
,,74,449,0.4294545352458954,,,,,
10.065560340881348,0.2231999933719635,75,455,,,,,,
,,75,455,0.4209090769290924,,,,,
3.8873960971832275,0.35600000619888306,76,461,,,,,,
,,76,461,0.3758181929588318,,,,,
2.060502290725708,0.36079999804496765,77,467,,,,,,
,,77,467,0.4320000112056732,,,,,
2.040015697479248,0.42800000309944153,78,473,,,,,,
,,78,473,0.4354545474052429,,,,,
1.9126843214035034,0.4912000000476837,79,479,,,,,,
,,79,479,0.4572727382183075,,,,,
1.6404448747634888,0.45680001378059387,80,485,,,,,,
,,80,485,0.47018182277679443,,,,,
1.8474054336547852,0.3824000060558319,81,491,,,,,,
,,81,491,0.459090918302536,,,,,
1.9827834367752075,0.4503999948501587,82,497,,,,,,
,,82,497,0.4452727138996124,,,,,
,,,499,,0.0676608521140981,0.0676608521140981,,,
,,83,499,,,,1.205424189567566,,
1.8812782764434814,0.47999998927116394,83,503,,,,,,
,,83,503,0.4849090874195099,,,,,
1.307267427444458,0.5375999808311462,84,509,,,,,,
,,84,509,0.48872727155685425,,,,,
2.098952054977417,0.4424000084400177,85,515,,,,,,
,,85,515,0.46963635087013245,,,,,
1.7514644861221313,0.4880000054836273,86,521,,,,,,
,,86,521,0.4941818118095398,,,,,
1.479292392730713,0.5727999806404114,87,527,,,,,,
,,87,527,0.5003636479377747,,,,,
1.6621659994125366,0.5112000107765198,88,533,,,,,,
,,88,533,0.5183636546134949,,,,,
1.9124109745025635,0.47200000286102295,89,539,,,,,,
,,89,539,0.5110909342765808,,,,,
1.4154129028320312,0.5752000212669373,90,545,,,,,,
,,90,545,0.5178181529045105,,,,,
,,,549,,0.06106846702727173,0.06106846702727173,,,
,,91,549,,,,1.1779859066009521,,
1.7694939374923706,0.5239999890327454,91,551,,,,,,
,,91,551,0.5134545564651489,,,,,
1.7682217359542847,0.4480000138282776,92,557,,,,,,
,,92,557,0.5238181948661804,,,,,
1.3999544382095337,0.548799991607666,93,563,,,,,,
,,93,563,0.5047272443771362,,,,,
1.637846827507019,0.5424000024795532,94,569,,,,,,
,,94,569,0.5305454730987549,,,,,
1.743834376335144,0.5447999835014343,95,575,,,,,,
,,95,575,0.557272732257843,,,,,
1.864891767501831,0.5199999809265137,96,581,,,,,,
,,96,581,0.5510908961296082,,,,,
1.855596899986267,0.48399999737739563,97,587,,,,,,
,,97,587,0.5521818399429321,,,,,
1.5906239748001099,0.5175999999046326,98,593,,,,,,
,,98,593,0.5458182096481323,,,,,
,,,599,,0.05426626995309123,0.05426626995309123,,,
,,99,599,,,,0.9589751958847046,,
1.3644189834594727,0.5952000021934509,99,599,,,,,,
,,99,599,0.569454550743103,,,,,
1.288983702659607,0.6151999831199646,100,605,,,,,,
,,100,605,0.5587272644042969,,,,,
1.6735080480575562,0.5135999917984009,101,611,,,,,,
,,101,611,0.5810909271240234,,,,,
1.7711224555969238,0.5407999753952026,102,617,,,,,,
,,102,617,0.5616363883018494,,,,,
1.7297054529190063,0.5631999969482422,103,623,,,,,,
,,103,623,0.5765454769134521,,,,,
1.7392046451568604,0.5199999809265137,104,629,,,,,,
,,104,629,0.5907272696495056,,,,,
1.525166392326355,0.5608000159263611,105,635,,,,,,
,,105,635,0.5949090719223022,,,,,
1.556317687034607,0.5504000186920166,106,641,,,,,,
,,106,641,0.5992727279663086,,,,,
1.4624522924423218,0.5943999886512756,107,647,,,,,,
,,107,647,0.6000000238418579,,,,,
,,,649,,0.04738320218785281,0.04738320218785281,,,
,,108,649,,,,1.075920820236206,,
2.255427122116089,0.4896000027656555,108,653,,,,,,
,,108,653,0.6030908823013306,,,,,
1.7067914009094238,0.5511999726295471,109,659,,,,,,
,,109,659,0.5803636312484741,,,,,
1.4390054941177368,0.5888000130653381,110,665,,,,,,
,,110,665,0.606181800365448,,,,,
1.4527199268341064,0.5712000131607056,111,671,,,,,,
,,111,671,0.6041818261146545,,,,,
1.3797974586486816,0.6032000184059143,112,677,,,,,,
,,112,677,0.6039999723434448,,,,,
1.8111629486083984,0.5568000078201294,113,683,,,,,,
,,113,683,0.6276363730430603,,,,,
2.393843650817871,0.5224000215530396,114,689,,,,,,
,,114,689,0.623090922832489,,,,,
1.2085108757019043,0.6295999884605408,115,695,,,,,,
,,115,695,0.6181818246841431,,,,,
,,,699,,0.040549737998982996,0.040549737998982996,,,
,,116,699,,,,0.863267183303833,,
1.35980224609375,0.623199999332428,116,701,,,,,,
,,116,701,0.6503636240959167,,,,,
1.6465847492218018,0.5727999806404114,117,707,,,,,,
,,117,707,0.6283636093139648,,,,,
1.5398633480072021,0.5879999995231628,118,713,,,,,,
,,118,713,0.634181797504425,,,,,
1.3703248500823975,0.6111999750137329,119,719,,,,,,
,,119,719,0.6463636159896851,,,,,
2.1363186836242676,0.5415999889373779,120,725,,,,,,
,,120,725,0.6370909214019775,,,,,
2.231208562850952,0.5311999917030334,121,731,,,,,,
,,121,731,0.6514545679092407,,,,,
1.3210057020187378,0.5935999751091003,122,737,,,,,,
,,122,737,0.6614545583724976,,,,,
1.5395679473876953,0.607200026512146,123,743,,,,,,
,,123,743,0.6527272462844849,,,,,
,,,749,,0.03389541137691129,0.03389541137691129,,,
,,124,749,,,,0.7880737781524658,,
1.5573245286941528,0.6119999885559082,124,749,,,,,,
,,124,749,0.6899999976158142,,,,,
1.5831362009048462,0.5879999995231628,125,755,,,,,,
,,125,755,0.6829090714454651,,,,,
1.7154715061187744,0.6128000020980835,126,761,,,,,,
,,126,761,0.6732727289199829,,,,,
2.069282054901123,0.5568000078201294,127,767,,,,,,
,,127,767,0.6880000233650208,,,,,
1.2877470254898071,0.6367999911308289,128,773,,,,,,
,,128,773,0.6972727179527283,,,,,
1.7289828062057495,0.6032000184059143,129,779,,,,,,
,,129,779,0.7154545187950134,,,,,
1.4390158653259277,0.6567999720573425,130,785,,,,,,
,,130,785,0.7061818242073059,,,,,
1.903672218322754,0.5863999724388123,131,791,,,,,,
,,131,791,0.7105454802513123,,,,,
1.5926014184951782,0.6151999831199646,132,797,,,,,,
,,132,797,0.7172726988792419,,,,,
,,,799,,0.027546360610674493,0.027546360610674493,,,
,,133,799,,,,0.6871633529663086,,
1.6513519287109375,0.6208000183105469,133,803,,,,,,
,,133,803,0.7041817903518677,,,,,
1.9499398469924927,0.5616000294685364,134,809,,,,,,
,,134,809,0.7167272567749023,,,,,
1.5397725105285645,0.6304000020027161,135,815,,,,,,
,,135,815,0.7234545350074768,,,,,
2.0534873008728027,0.58160001039505,136,821,,,,,,
,,136,821,0.7281818389892578,,,,,
2.187861919403076,0.5960000157356262,137,827,,,,,,
,,137,827,0.7267272472381592,,,,,
2.632821798324585,0.553600013256073,138,833,,,,,,
,,138,833,0.741454541683197,,,,,
