iteration,train_time_s,query_time_s,eig_time_s
0,21.2973,15.3628,
1,22.3624,15.3387,
2,23.0919,15.4194,
3,23.9666,15.44,
4,24.5226,15.4842,
5,25.7437,15.4707,
6,26.1528,15.6081,
7,26.8871,15.6336,
8,28.2457,15.6455,
9,28.6427,15.6385,
