val/loss,val/acc,epoch,step,train/acc,lr-SGD/pg1,lr-SGD/pg2,train/loss,test/loss,test/acc
2.377363920211792,0.1120000034570694,0,5,,,,,,
,,0,5,0.09200000017881393,,,,,
2.453725814819336,0.14000000059604645,1,11,,,,,,
,,1,11,0.13436363637447357,,,,,
3.33880352973938,0.1720000058412552,2,17,,,,,,
,,2,17,0.16254545748233795,,,,,
4.95654821395874,0.18400000035762787,3,23,,,,,,
,,3,23,0.18781818449497223,,,,,
4.456857204437256,0.18400000035762787,4,29,,,,,,
,,4,29,0.21690909564495087,,,,,
5.068973064422607,0.17599999904632568,5,35,,,,,,
,,5,35,0.2309090942144394,,,,,
5.6200385093688965,0.13600000739097595,6,41,,,,,,
,,6,41,0.2512727379798889,,,,,
5.869271278381348,0.20399999618530273,7,47,,,,,,
,,7,47,0.26018181443214417,,,,,
,,,49,,0.08166666666666667,0.08166666666666667,,,
,,8,49,,,,1.7429884672164917,,
4.789376258850098,0.1720000058412552,8,53,,,,,,
,,8,53,0.2990909218788147,,,,,
4.133847236633301,0.20000000298023224,9,59,,,,,,
,,9,59,0.26981818675994873,,,,,
2.949943780899048,0.23600000143051147,10,65,,,,,,
,,10,65,0.3141818046569824,,,,,
3.215841293334961,0.23999999463558197,11,71,,,,,,
,,11,71,0.34890908002853394,,,,,
3.1114606857299805,0.30000001192092896,12,77,,,,,,
,,12,77,0.3638181686401367,,,,,
2.889697313308716,0.2280000001192093,13,83,,,,,,
,,13,83,0.3690909147262573,,,,,
3.916560173034668,0.1679999977350235,14,89,,,,,,
,,14,89,0.37400001287460327,,,,,
2.6622796058654785,0.24799999594688416,15,95,,,,,,
,,15,95,0.4083636403083801,,,,,
,,,99,,0.09971150308006689,0.09971150308006689,,,
,,16,99,,,,1.338850498199463,,
2.9426932334899902,0.18799999356269836,16,101,,,,,,
,,16,101,0.4369090795516968,,,,,
2.764860153198242,0.23600000143051147,17,107,,,,,,
,,17,107,0.45981818437576294,,,,,
3.3908767700195312,0.20000000298023224,18,113,,,,,,
,,18,113,0.4776363670825958,,,,,
2.9623522758483887,0.30000001192092896,19,119,,,,,,
,,19,119,0.4763636291027069,,,,,
2.957070827484131,0.23600000143051147,20,125,,,,,,
,,20,125,0.503636360168457,,,,,
2.884554624557495,0.18799999356269836,21,131,,,,,,
,,21,131,0.5127272605895996,,,,,
2.700613260269165,0.2680000066757202,22,137,,,,,,
,,22,137,0.5218181610107422,,,,,
3.6055908203125,0.2240000069141388,23,143,,,,,,
,,23,143,0.5379999876022339,,,,,
,,,149,,0.09850365444235881,0.09850365444235881,,,
,,24,149,,,,1.227577805519104,,
2.746647834777832,0.23600000143051147,24,149,,,,,,
,,24,149,0.5074545741081238,,,,,
3.6946308612823486,0.19599999487400055,25,155,,,,,,
,,25,155,0.5394545197486877,,,,,
3.0786538124084473,0.2240000069141388,26,161,,,,,,
,,26,161,0.5518181920051575,,,,,
3.973548173904419,0.24400000274181366,27,167,,,,,,
,,27,167,0.5887272953987122,,,,,
3.8453238010406494,0.30000001192092896,28,173,,,,,,
,,28,173,0.5396363735198975,,,,,
2.8556406497955322,0.30000001192092896,29,179,,,,,,
,,29,179,0.5838181972503662,,,,,
2.857064962387085,0.31200000643730164,30,185,,,,,,
,,30,185,0.5825454592704773,,,,,
4.509636402130127,0.15600000321865082,31,191,,,,,,
,,31,191,0.6159999966621399,,,,,
3.4581704139709473,0.2639999985694885,32,197,,,,,,
,,32,197,0.6081818342208862,,,,,
,,,199,,0.09637637874149779,0.09637637874149779,,,
,,33,199,,,,0.9012816548347473,,
4.511068820953369,0.23999999463558197,33,203,,,,,,
,,33,203,0.6492727398872375,,,,,
3.720615863800049,0.23199999332427979,34,209,,,,,,
,,34,209,0.626909077167511,,,,,
5.657293796539307,0.2160000056028366,35,215,,,,,,
,,35,215,0.6205454468727112,,,,,
4.600543975830078,0.2240000069141388,36,221,,,,,,
,,36,221,0.6034545302391052,,,,,
3.7897562980651855,0.2840000092983246,37,227,,,,,,
,,37,227,0.6236363649368286,,,,,
4.4961676597595215,0.25999999046325684,38,233,,,,,,
,,38,233,0.6861818432807922,,,,,
3.712730646133423,0.31200000643730164,39,239,,,,,,
,,39,239,0.668181836605072,,,,,
6.527363300323486,0.18400000035762787,40,245,,,,,,
,,40,245,0.6874545216560364,,,,,
,,,249,,0.09337000025557476,0.09337000025557476,,,
,,41,249,,,,1.1613328456878662,,
6.646275043487549,0.19599999487400055,41,251,,,,,,
,,41,251,0.5601817965507507,,,,,
3.700998306274414,0.30799999833106995,42,257,,,,,,
,,42,257,0.6327272653579712,,,,,
4.091097831726074,0.25999999046325684,43,263,,,,,,
,,43,263,0.6365454792976379,,,,,
3.3998773097991943,0.30399999022483826,44,269,,,,,,
,,44,269,0.671818196773529,,,,,
3.297973155975342,0.2759999930858612,45,275,,,,,,
,,45,275,0.6747272610664368,,,,,
3.525735378265381,0.2800000011920929,46,281,,,,,,
,,46,281,0.6959999799728394,,,,,
3.3039357662200928,0.2759999930858612,47,287,,,,,,
,,47,287,0.7265454530715942,,,,,
3.470958948135376,0.2840000092983246,48,293,,,,,,
,,48,293,0.7145454287528992,,,,,
,,,299,,0.08954150738626414,0.08954150738626414,,,
,,49,299,,,,0.7661917805671692,,
5.569668769836426,0.25600001215934753,49,299,,,,,,
,,49,299,0.7003636360168457,,,,,
4.801239490509033,0.3199999928474426,50,305,,,,,,
,,50,305,0.6836363673210144,,,,,
4.049230098724365,0.20399999618530273,51,311,,,,,,
,,51,311,0.7061818242073059,,,,,
4.186117172241211,0.25200000405311584,52,317,,,,,,
,,52,317,0.7105454802513123,,,,,
3.6332685947418213,0.2720000147819519,53,323,,,,,,
,,53,323,0.7027272582054138,,,,,
3.703850507736206,0.2680000066757202,54,329,,,,,,
,,54,329,0.7663636207580566,,,,,
4.002321720123291,0.29600000381469727,55,335,,,,,,
,,55,335,0.7567272782325745,,,,,
4.400993347167969,0.25999999046325684,56,341,,,,,,
,,56,341,0.7641817927360535,,,,,
3.7384021282196045,0.2680000066757202,57,347,,,,,,
