iteration,train_time_s,query_time_s,eig_time_s
0,36.3979,213.5562,
1,58.8274,241.1973,
2,57.7472,387.5593,
3,54.0024,546.4698,
4,29.8748,684.378,
5,64.9131,789.428,
6,66.9234,920.1299,
7,69.4156,1071.2174,
8,75.2178,1234.145,
9,76.2689,1149.084,
