lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/av_prec,val/acc,val/w_acc,val/av_f1,epoch,train/auroc,train/av_prec,train/acc,train/w_acc,train/av_f1,test/loss,test/auroc,test/av_prec,test/acc,test/w_acc,test/av_f1,test/bacc
0.0001442986898059786,0.0001442986898059786,0,,,,,,,,,,,,,,,,,,,
,,1,nan,0.35650286078453064,nan,0.019999999552965164,0.20000000298023224,0.013377925381064415,0,,,,,,,,,,,,
,,1,,,,,,,0,0.2571428716182709,nan,0.0,nan,nan,,,,,,,
0.0001442986898059786,0.0001442986898059786,2,,,,,,,,,,,,,,,,,,,
,,3,nan,0.3731982707977295,nan,0.019999999552965164,0.20000000298023224,0.007843137718737125,1,,,,,,,,,,,,
,,3,,,,,,,1,0.39047619700431824,0.6791666746139526,0.30000001192092896,nan,0.18888887763023376,,,,,,,
0.0001442986898059786,0.0001442986898059786,4,,,,,,,,,,,,,,,,,,,
,,5,nan,0.6696608662605286,nan,0.019999999552965164,0.20000000298023224,0.007843137718737125,2,,,,,,,,,,,,
,,5,,,,,,,2,0.4000000059604645,nan,0.5,nan,nan,,,,,,,
0.0001442986898059786,0.0001442986898059786,6,,,,,,,,,,,,,,,,,,,
,,7,nan,0.6699602007865906,nan,0.019999999552965164,0.20000000298023224,0.007843137718737125,3,,,,,,,,,,,,
,,7,,,,,,,3,0.4000000059604645,nan,0.800000011920929,nan,nan,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,8,,,,,,,,,,,,,,,,,,,
,,9,nan,0.6631137132644653,nan,0.019999999552965164,0.20000000298023224,0.007843137718737125,4,,,,,,,,,,,,
,,9,,,,,,,4,0.4000000059604645,nan,0.800000011920929,nan,nan,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,10,,,,,,,,,,,,,,,,,,,
,,11,nan,0.6570485234260559,nan,0.019999999552965164,0.20000000298023224,0.007843137718737125,5,,,,,,,,,,,,
,,11,,,,,,,5,0.4000000059604645,nan,0.8999999761581421,nan,nan,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,12,,,,,,,,,,,,,,,,,,,
,,13,nan,0.6352758407592773,nan,0.1720000058412552,0.21039548516273499,0.1264554262161255,6,,,,,,,,,,,,
,,13,,,,,,,6,0.4000000059604645,nan,0.8999999761581421,nan,nan,,,,,,,
1.442986898059786e-05,1.442986898059786e-05,14,,,,,,,,,,,,,,,,,,,
,,15,nan,0.6485942602157593,nan,0.30000001192092896,0.24497175216674805,0.17641587555408478,7,,,,,,,,,,,,
,,15,,,,,,,7,0.4000000059604645,nan,0.8999999761581421,nan,nan,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,16,,,,,,,,,,,,,,,,,,,
,,17,nan,0.6412250399589539,nan,0.3179999887943268,0.2362711876630783,0.1766149401664734,8,,,,,,,,,,,,
,,17,,,,,,,8,0.4000000059604645,nan,0.8999999761581421,nan,nan,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,18,,,,,,,,,,,,,,,,,,,
,,19,nan,0.6340585350990295,nan,0.3179999887943268,0.21695610880851746,0.17260515689849854,9,,,,,,,,,,,,
,,19,,,,,,,9,0.4000000059604645,nan,0.800000011920929,nan,nan,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,20,,,,,,,,,,,,,,,,,,,
,,21,nan,0.6222121715545654,nan,0.3479999899864197,0.22723010182380676,0.19126008450984955,10,,,,,,,,,,,,
,,21,,,,,,,10,0.4000000059604645,nan,0.8999999761581421,nan,nan,,,,,,,
1.4429868980597862e-06,1.4429868980597862e-06,22,,,,,,,,,,,,,,,,,,,
,,23,nan,0.6054766774177551,nan,0.40400001406669617,0.2486332356929779,0.2150481641292572,11,,,,,,,,,,,,
,,23,,,,,,,11,0.4000000059604645,nan,0.8999999761581421,nan,nan,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,24,,,,,,,,,,,,,,,,,,,
,,25,nan,0.59079909324646,nan,0.4659999907016754,0.27075615525245667,0.24368798732757568,12,,,,,,,,,,,,
,,25,,,,,,,12,0.4000000059604645,nan,0.8999999761581421,nan,nan,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,26,,,,,,,,,,,,,,,,,,,
,,27,nan,0.5827385783195496,nan,0.5580000281333923,0.3022629916667938,0.27962806820869446,13,,,,,,,,,,,,
,,27,,,,,,,13,0.4000000059604645,nan,0.800000011920929,nan,nan,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,28,,,,,,,,,,,,,,,,,,,
,,29,nan,0.5799953937530518,nan,0.6359999775886536,0.3289753496646881,0.30519407987594604,14,,,,,,,,,,,,
,,29,,,,,,,14,0.4000000059604645,nan,0.699999988079071,nan,nan,,,,,,,
1.4429868980597863e-07,1.4429868980597863e-07,30,,,,,,,,,,,,,,,,,,,
,,31,nan,0.5807352662086487,nan,0.7020000219345093,0.3515780568122864,0.3259095549583435,15,,,,,,,,,,,,
,,31,,,,,,,15,0.4000000059604645,nan,1.0,nan,nan,,,,,,,
1.4429868980597864e-08,1.4429868980597864e-08,32,,,,,,,,,,,,,,,,,,,
,,33,nan,0.5819540023803711,nan,0.7419999837875366,0.3652766942977905,0.3380735218524933,16,,,,,,,,,,,,
,,33,,,,,,,16,0.4000000059604645,nan,1.0,nan,nan,,,,,,,
,,34,,,,,,,17,,,,,,nan,0.6389923691749573,nan,0.7369999885559082,0.33362287282943726,0.3278804421424866,0.33362287282943726
