iteration,train_time_s,query_time_s,eig_time_s
0,227.2249,63.0792,58.1416
1,226.0685,110.4566,105.1012
2,226.6282,167.365,161.9041
3,227.1391,219.0496,213.5245
4,227.573,294.4763,288.9634
5,228.1486,357.1485,351.6297
6,228.654,423.9328,418.6709
7,228.1868,496.4289,490.9225
8,228.6593,645.2001,639.6358
9,228.7645,752.4219,746.9585
