lr-Adam/pg1,lr-Adam/pg2,step,val/loss,val/auroc,val/auprc,val/acc,val/w_acc,val/av_prec,val/av_f1,epoch,train/auroc,train/auprc,train/acc,train/w_acc,train/av_prec,train/av_f1,train/loss
,,27,,,,,,,,13,0.6654647588729858,0.7062074542045593,0.5699999928474426,0.5825320482254028,0.6338531374931335,0.5305164456367493,
0.0001,0.0001,28,,,,,,,,,,,,,,,
,,29,0.6725468039512634,0.6873169541358948,0.6866880655288696,0.5843071937561035,0.5843071937561035,0.6345349550247192,0.541513979434967,14,,,,,,,
,,29,,,,,,,,14,0.673107922077179,0.7082796692848206,0.550000011920929,0.5688405632972717,0.586758017539978,0.5331466197967529,
0.0001,0.0001,30,,,,,,,,,,,,,,,
,,31,0.6712921857833862,0.6876319050788879,0.6872803568840027,0.5893155336380005,0.5893155336380005,0.6243669390678406,0.5581854581832886,15,,,,,,,
,,31,,,,,,,,15,0.6112479567527771,0.6676334142684937,0.550000011920929,0.5726600885391235,0.5759330987930298,0.5488722324371338,
0.0001,0.0001,32,,,,,,,,,,,,,,,
,,33,0.6700418591499329,0.6880443096160889,0.687590479850769,0.6193656325340271,0.6193656325340271,0.6450353860855103,0.6017438173294067,16,,,,,,,
,,33,,,,,,,,16,0.7532840967178345,0.7268408536911011,0.6899999976158142,0.6572249531745911,0.6943175792694092,0.6570416688919067,
0.0001,0.0001,34,,,,,,,,,,,,,,,
,,35,0.6688051819801331,0.6882743239402771,0.687886118888855,0.6243739724159241,0.6243739724159241,0.6392871141433716,0.6140430569648743,17,,,,,,,
,,35,,,,,,,,17,0.683232307434082,0.7481924295425415,0.6299999952316284,0.6414141654968262,0.6458333730697632,0.6290726661682129,
0.0001,0.0001,36,,,,,,,,,,,,,,,
,,37,0.667670726776123,0.6885265111923218,0.6878957152366638,0.6318864822387695,0.6318864822387695,0.6400958299636841,0.6264136433601379,18,,,,,,,
,,37,,,,,,,,18,0.7560096383094788,0.7401641607284546,0.6700000166893005,0.6674679517745972,0.6705426573753357,0.6673051714897156,
0.0001,0.0001,38,,,,,,,,,,,,,,,
,,39,0.6667841672897339,0.688835859298706,0.6883928775787354,0.6419031620025635,0.6419031620025635,0.6464017033576965,0.6391310691833496,19,,,,,,,
,,39,,,,,,,,19,0.6416666507720947,0.5912898778915405,0.6200000047683716,0.6041666269302368,0.6041666269302368,0.6041666269302368,
0.0001,0.0001,40,,,,,,,,,,,,,,,
,,41,0.6659963130950928,0.6891828775405884,0.6884361505508423,0.6360601186752319,0.6360601186752319,0.6382862329483032,0.6345894932746887,20,,,,,,,
,,41,,,,,,,,20,0.6445249319076538,0.6936379671096802,0.6000000238418579,0.6038647890090942,0.6038647890090942,0.6000000238418579,
0.0001,0.0001,42,,,,,,,,,,,,,,,
,,43,0.6652272343635559,0.6892539262771606,0.6885326504707336,0.6302170157432556,0.6302170157432556,0.6309561133384705,0.6296945214271545,21,,,,,,,
,,43,,,,,,,,21,0.749099612236023,0.7968366146087646,0.6800000071525574,0.680672287940979,0.6812524795532227,0.6798719167709351,
0.0001,0.0001,44,,,,,,,,,,,,,,,
,,45,0.6644930839538574,0.6896357536315918,0.6891612410545349,0.6335559487342834,0.6335558891296387,0.633827805519104,0.6333696842193604,22,,,,,,,
,,45,,,,,,,,22,0.7758620977401733,0.7509691119194031,0.699999988079071,0.7052544951438904,0.699999988079071,0.6980676651000977,
0.0001,0.0001,46,,,,,,,,,,,,,,,
,,47,0.6637579798698425,0.6898196935653687,0.6889724731445312,0.6410684585571289,0.6410684585571289,0.6411077976226807,0.6410434246063232,23,,,,,,,
,,47,,,,,,,,23,0.6776825189590454,0.7085156440734863,0.6499999761581421,0.6558547019958496,0.6530448794364929,0.6491228342056274,
1e-05,1e-05,48,,,,,,,,,,,,,,,
,,49,,,,,,,,24,,,,,,,0.6542048454284668
,,49,0.663681149482727,0.6898252964019775,0.6890684962272644,0.6410684585571289,0.6410684585571289,0.6411455869674683,0.6410194039344788,24,,,,,,,
,,49,,,,,,,,24,0.786057710647583,0.7612123489379883,0.7400000095367432,0.7387820482254028,0.739935576915741,0.739060640335083,
1e-05,1e-05,50,,,,,,,,,,,,,,,
,,51,0.6636049151420593,0.6898670792579651,0.6890928745269775,0.6419031620025635,0.6419031620025635,0.6419922113418579,0.6418470144271851,25,,,,,,,
,,51,,,,,,,,25,0.6982223987579346,0.6723277568817139,0.6100000143051147,0.6062422394752502,0.6034621596336365,0.6032956838607788,
1e-05,1e-05,52,,,,,,,,,,,,,,,
,,53,0.6635274291038513,0.6898893713951111,0.689094603061676,0.6419031620025635,0.6419031620025635,0.6419922113418579,0.6418470144271851,26,,,,,,,
,,53,,,,,,,,26,0.6583701372146606,0.6365879774093628,0.5899999737739563,0.585507869720459,0.5874384641647339,0.5849782228469849,
1e-05,1e-05,54,,,,,,,,,,,,,,,
,,55,0.6634466052055359,0.6900036334991455,0.6891650557518005,0.6419031620025635,0.6419031620025635,0.6419922113418579,0.6418470144271851,27,,,,,,,
