iteration,train_time_s,query_time_s,eig_time_s
0,21.6372,93.5294,
1,23.1143,148.2281,
2,23.9338,207.1282,
3,24.7851,259.4246,
4,25.4754,312.1222,
5,26.6893,390.7055,
6,27.2338,451.5157,
7,28.2358,510.3543,
8,29.1458,573.1292,
9,29.6284,639.149,
