val/loss,val/acc,epoch,step,train/acc,lr-SGD/pg1,lr-SGD/pg2,train/loss,test/loss,test/acc
2.309957504272461,0.1080000028014183,0,5,,,,,,
,,0,5,0.10545454174280167,,,,,
2.282592296600342,0.12800000607967377,1,11,,,,,,
,,1,11,0.1369090974330902,,,,,
2.240344762802124,0.14399999380111694,2,17,,,,,,
,,2,17,0.1870909035205841,,,,,
2.153778314590454,0.25200000405311584,3,23,,,,,,
,,3,23,0.2147272676229477,,,,,
3.4254887104034424,0.19200000166893005,4,29,,,,,,
,,4,29,0.23399999737739563,,,,,
3.9722206592559814,0.15199999511241913,5,35,,,,,,
,,5,35,0.23818181455135345,,,,,
5.657967567443848,0.15600000321865082,6,41,,,,,,
,,6,41,0.25727272033691406,,,,,
3.0797178745269775,0.18799999356269836,7,47,,,,,,
,,7,47,0.3234545588493347,,,,,
,,,49,,0.08166666666666667,0.08166666666666667,,,
,,8,49,,,,2.0216007232666016,,
2.884143114089966,0.24799999594688416,8,53,,,,,,
,,8,53,0.28890907764434814,,,,,
2.505446434020996,0.23999999463558197,9,59,,,,,,
,,9,59,0.3307272791862488,,,,,
1.8338708877563477,0.35600000619888306,10,65,,,,,,
,,10,65,0.3619999885559082,,,,,
2.207681655883789,0.30399999022483826,11,71,,,,,,
,,11,71,0.3527272641658783,,,,,
2.106219530105591,0.30799999833106995,12,77,,,,,,
,,12,77,0.39399999380111694,,,,,
2.4142065048217773,0.25600001215934753,13,83,,,,,,
,,13,83,0.421999990940094,,,,,
2.1896729469299316,0.30000001192092896,14,89,,,,,,
,,14,89,0.44090908765792847,,,,,
2.264817476272583,0.328000009059906,15,95,,,,,,
,,15,95,0.4441818296909332,,,,,
,,,99,,0.09971150308006689,0.09971150308006689,,,
,,16,99,,,,1.4516267776489258,,
2.7938387393951416,0.2639999985694885,16,101,,,,,,
,,16,101,0.4734545350074768,,,,,
2.7066879272460938,0.2840000092983246,17,107,,,,,,
,,17,107,0.4307272732257843,,,,,
2.987705945968628,0.25999999046325684,18,113,,,,,,
,,18,113,0.49909090995788574,,,,,
2.2303659915924072,0.30799999833106995,19,119,,,,,,
,,19,119,0.4421818256378174,,,,,
2.3580679893493652,0.25200000405311584,20,125,,,,,,
,,20,125,0.5054545402526855,,,,,
2.087522506713867,0.36399999260902405,21,131,,,,,,
,,21,131,0.5090909004211426,,,,,
2.2683053016662598,0.2840000092983246,22,137,,,,,,
