iteration,train_time_s,query_time_s,eig_time_s
0,226.5052,63.3177,58.3049
1,228.8806,111.4126,106.0495
2,228.9416,169.2212,163.6295
3,228.0865,221.0853,215.4815
4,229.0693,299.2709,293.7109
5,227.652,362.182,356.5424
6,227.7636,427.336,421.9219
7,229.0671,499.7746,494.1748
8,230.0364,653.1645,647.6721
9,229.3111,760.7607,755.1264
