iteration,train_time_s,query_time_s,eig_time_s
0,225.7848,62.9023,57.8429
1,225.4113,108.8141,103.3663
2,226.4685,166.5202,160.9617
3,226.7346,218.1663,212.6247
4,226.7246,289.2541,283.5913
5,227.8323,354.8551,349.1929
6,227.3653,413.912,408.299
7,227.4376,492.7247,487.0849
8,228.1486,636.4587,631.0542
9,228.8844,742.4707,736.84
