iteration,train_time_s,query_time_s,eig_time_s
0,21.8645,4.8189,
1,23.0708,4.7509,
2,24.2105,4.7542,
3,24.8212,4.7815,
4,25.8441,4.7696,
5,27.0138,4.7771,
6,26.7424,4.7153,
7,27.3961,4.722,
8,29.39,4.7731,
9,29.1484,4.7251,
