iteration,train_time_s,query_time_s,eig_time_s
0,61.8295,256.0852,246.3926
1,64.0657,311.4508,301.685
2,65.3386,318.1951,309.9664
3,33.6991,461.9949,454.5779
4,62.8285,603.1907,593.7467
5,62.4888,753.1426,744.5971
6,51.6341,908.3599,901.1108
7,34.9548,1027.2124,1018.2969
8,75.608,1180.1942,1171.0284
9,76.1981,1307.0783,1297.9747
