iteration,train_time_s,query_time_s,eig_time_s
0,62.6556,70.9766,61.314
1,64.8133,125.5154,115.5315
2,65.213,180.1406,169.7713
3,67.7371,194.3909,183.9809
4,72.4132,238.0866,227.4813
5,71.6723,311.7796,301.6165
6,68.7932,366.7719,356.6126
7,80.1078,393.0465,382.3052
8,89.3896,433.9052,423.4556
9,91.8346,494.4761,484.0159
