iteration,train_time_s,query_time_s,eig_time_s
0,47.0666,60.2741,
1,63.4402,86.7839,
2,65.4807,138.2683,
3,78.8155,171.6749,
4,83.2358,215.0628,
5,97.7221,277.8155,
6,92.7352,317.6727,
7,104.4043,350.8093,
8,101.6548,393.1647,
9,109.237,458.4451,
