iteration,train_time_s,query_time_s,eig_time_s
0,21.6455,6.8347,
1,22.6744,6.9509,
2,23.533,6.9239,
3,24.4605,6.7565,
4,24.9395,6.7167,
5,26.1031,6.7735,
6,26.4338,6.7281,
7,27.4538,6.7678,
8,28.6716,6.7551,
9,29.0768,6.7766,
