Method,mean,std
BADGE,0.861814816240911,0.04043079582695933
Random,0.8568148176979135,0.029487881014159608
Entropy,0.767999999501087,0.13764791079619973
Core-Set,0.678685184430193,0.20164239524031913
BALD,0.6312222208275838,0.262316855036837
Vendi,0.6083888858556747,0.16555048867539687
Bandit,0.5543518494124765,0.12246254940531526
