Method,mean,std
Core-Set,0.9195555536835281,0.005215125293198537
BALD,0.9179074068864187,0.007003163615528928
Random,0.9158703684806824,0.00472265899457486
Vendi,0.9142592582437726,0.026926304488272587
Entropy,0.9108888893215744,0.0011276609820948572
BADGE,0.907185184734839,0.019420173443583072
Bandit,0.8932592581819604,0.03336823459495207
