iteration,train_time_s,query_time_s,eig_time_s
0,36.089,5.7069,
1,43.7055,5.8416,
2,39.6164,5.9988,
3,42.4658,5.795,
4,47.7217,5.876,
5,48.9054,5.8486,
6,49.5439,6.0097,
7,49.447,5.9765,
8,47.4494,5.9428,
9,54.2677,5.7355,
